origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_006,TCU_SUNNER_ID_017,,,,,95.8,4,diagonal,TK006,TK017,6,17,41.227172,0.323603,41.226517,0.324346,34.6,21.7
TCU_SUNNER_ID_003,TCU_SUNNER_ID_018,,,,,95.9,7,filas,TK003,TK018,3,18,41.226924,0.32333,41.226993,0.32447,28.3,20.6
TCU_SUNNER_ID_004,TCU_SUNNER_ID_015,,,,,97.6,4,diagonal,TK004,TK015,4,15,41.227232,0.323457,41.226556,0.324201,34.1,21.4
TCU_SUNNER_ID_009,TCU_SUNNER_ID_023,,,,,97.6,7,filas,TK009,TK023,9,23,41.226688,0.323766,41.226874,0.324904,27.9,20.4
TCU_SUNNER_ID_011,TCU_SUNNER_ID_024,,,,,98.5,7,filas,TK011,TK024,11,24,41.226651,0.323911,41.226874,0.325047,27.7,20.2
TCU_SUNNER_ID_004,TCU_SUNNER_ID_020,,,,,101.9,7,diagonal,TK004,TK020,4,20,41.227232,0.323457,41.226953,0.324614,26.9,19.7
TCU_SUNNER_ID_006,TCU_SUNNER_ID_019,,,,,107.1,5,diagonal,TK006,TK019,6,19,41.227172,0.323603,41.226479,0.324491,29.1,19.7
TCU_SUNNER_ID_001,TCU_SUNNER_ID_018,,,,,107.9,8,filas,TK001,TK018,1,18,41.227048,0.323185,41.226993,0.32447,24.9,18.6
TCU_SUNNER_ID_005,TCU_SUNNER_ID_022,,,,,108.9,8,filas,TK005,TK022,5,22,41.226764,0.323477,41.226916,0.324759,24.6,18.5
TCU_SUNNER_ID_002,TCU_SUNNER_ID_013,,,,,110.9,4,diagonal,TK002,TK013,2,13,41.227401,0.32331,41.226577,0.324056,31.3,19.5
TCU_SUNNER_ID_006,TCU_SUNNER_ID_021,,,,,117.1,6,diagonal,TK006,TK021,6,21,41.227172,0.323603,41.226462,0.324635,25.5,18.1
TCU_SUNNER_ID_003,TCU_SUNNER_ID_022,,,,,119.9,9,filas,TK003,TK022,3,22,41.226924,0.32333,41.226916,0.324759,21.6,16.9
TCU_SUNNER_ID_001,TCU_SUNNER_ID_020,,,,,120.4,9,filas,TK001,TK020,1,20,41.227048,0.323185,41.226953,0.324614,21.5,16.8
TCU_SUNNER_ID_003,TCU_SUNNER_ID_021,,,,,120.9,8,diagonal,TK003,TK021,3,21,41.226924,0.32333,41.226462,0.324635,22.3,17.0
TCU_SUNNER_ID_004,TCU_SUNNER_ID_021,,,,,130.6,7,diagonal,TK004,TK021,4,21,41.227232,0.323457,41.226462,0.324635,21.2,16.2
TCU_SUNNER_ID_003,TCU_SUNNER_ID_023,,,,,132.1,10,filas,TK003,TK023,3,23,41.226924,0.32333,41.226874,0.324904,19.0,15.2
TCU_SUNNER_ID_001,TCU_SUNNER_ID_022,,,,,132.8,10,filas,TK001,TK022,1,22,41.227048,0.323185,41.226916,0.324759,18.9,15.2
TCU_SUNNER_ID_004,TCU_SUNNER_ID_024,,,,,139.1,10,diagonal,TK004,TK024,4,24,41.227232,0.323457,41.226874,0.325047,17.9,14.5
