# GOLDEN del núcleo — generado por tools/gen_golden_core.py
# pvlib 0.15.2 · tracker schema 2.1.0
# albedo 0.25 (por defecto de pvlib: el core NO lo expone) · Linke 3.5 · altitud 300.0 m
# Perez allsitescomposite1990 · 7 escenarios · 1104 filas
# Las columnas zenit..dhi son ENTRADAS: el espejo debe consumirlas, no regenerarlas.
# *_theta/*_flag = el core TAL CUAL. *_fix_theta/*_fix_flag = el core con el azimut
# del eje propagado a la transposicion: las 4 politicas NO lo pasan (solo run_tracker),
# asi que con eje girado deciden con otra orientacion. Bug del core, no del espejo.
escenario,paso,dt_min,minuto_local,gcr,theta_max,axis_azimuth,doy,zenit,azimut,ghi,dni,dhi,theta_n,poa_n,diffuse_flat_theta,diffuse_flat_flag,diffuse_limited_theta,diffuse_limited_flag,diffuse_continuous_theta,diffuse_continuous_flag,diffuse_poa_switch_theta,diffuse_poa_switch_flag,diffuse_flat_fix_theta,diffuse_flat_fix_flag,diffuse_limited_fix_theta,diffuse_limited_fix_flag,diffuse_continuous_fix_theta,diffuse_continuous_fix_flag,diffuse_poa_switch_fix_theta,diffuse_poa_switch_fix_flag
ebro_verano,55,10,550,0.397,55.0,0.0,172,62.83387470028124,81.78978189925078,402.910994123036,707.6159713825433,79.83335345128097,55.0,846.6410535441285,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
ebro_verano,56,10,560,0.397,55.0,0.0,172,60.98208712028736,83.3195297556179,435.9130065949752,727.4390100877469,83.04468268210394,55.0,875.1147266869925,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
ebro_verano,57,10,570,0.397,55.0,0.0,172,59.12421722617748,84.86772105618712,468.56984325742457,745.3010942545707,86.09732507590132,55.0,900.3481721893751,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
ebro_verano,58,10,580,0.397,55.0,0.0,172,57.261593781902064,86.43883873368361,500.79318048608246,761.438131080943,89.00418303694829,55.0,922.4691245892893,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
ebro_verano,59,10,590,0.397,55.0,0.0,172,55.39558873611303,88.03780181705429,532.5002838967314,776.0506916469066,91.77557254851945,55.0,941.5893523519455,55.0,0,55.0,1,55.0,0,55.0,0,55.0,0,55.0,1,55.0,0,55.0,0
ebro_verano,60,10,600,0.397,55.0,0.0,172,53.527635794860444,89.67004217371806,563.6131294276514,789.3098942144752,94.41971131339403,53.52718163817781,956.7305872965444,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0,53.52718163817781,0
ebro_verano,61,10,610,0.397,55.0,0.0,172,51.659251393369395,91.34159527961776,594.057775120402,801.3622583970877,96.94311111987577,51.651608227003706,969.431135171681,51.651608227003706,0,51.651608227003706,1,51.651608227003706,0,51.651608227003706,0,51.651608227003706,0,51.651608227003706,1,51.651608227003706,0,51.651608227003706,0
ebro_verano,62,10,620,0.397,55.0,0.0,172,49.792059053947895,93.05920764827698,623.7639103455705,812.3336957331622,99.3508937948526,49.751769850787745,980.2000821733407,49.751769850787745,0,49.751769850787745,1,49.751769850787745,0,49.751769850787745,0,49.751769850787745,0,49.751769850787745,1,49.751769850787745,0,49.751769850787745,0
ebro_verano,63,10,630,0.397,55.0,0.0,172,47.92781736797219,94.83046489036224,652.6645449135862,822.3327922521632,101.6470474954067,47.82639908050287,989.1882695431065,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0,47.82639908050287,0
ebro_verano,64,10,640,0.397,55.0,0.0,172,46.06845468009463,96.66394249338612,680.695773356429,831.4535019365014,103.83463346773954,45.87436122427915,996.5389794547411,45.87436122427915,0,45.87436122427915,1,45.87436122427915,0,45.87436122427915,0,45.87436122427915,0,45.87436122427915,1,45.87436122427915,0,45.87436122427915,0
