tracker;zona;id;tipo;pend_long_pct;este_pend_transv_pct;este_pend_vector_pct;este_azimut_deg;este_vecina_critica;este_es_hermana;este_n_candidatas;oeste_pend_transv_pct;oeste_pend_vector_pct;oeste_azimut_deg;oeste_vecina_critica;oeste_es_hermana;oeste_n_candidatas
493;SJ;TR-03_2-029;2TTx64;0,105;4,739;4,740;268,700;TR-03_2-030-W;NO;1;-1,029;1,034;264,200;TR-06_1-062-E;NO;1
494;SJ;TR-03_2-030;2TTx64;-0,512;3,826;3,860;277,600;TR-03_2-031-W;NO;1;-4,230;4,261;276,900;TR-03_2-029-E;NO;1
495;SJ;TR-03_2-031;2TTx64;-0,774;3,357;3,445;283,000;TR-03_2-032-W;NO;1;-3,544;3,628;282,300;TR-03_2-030-E;NO;1
496;SJ;TR-03_2-032;2TTx64;-1,449;2,065;2,523;305,100;TR-03_2-033-W;NO;1;-3,069;3,394;295,300;TR-03_2-031-E;NO;1
497;SJ;TR-03_2-033;2TTx64;-0,864;1,416;1,659;301,400;TR-03_2-034-W;NO;1;0,327;0,924;20,700;TR-03_2-032-E;NO;1
498;SJ;TR-03_2-034;2TTx64;-0,742;2,203;2,325;288,600;TR-03_2-035-W;NO;1;-1,023;1,264;306,000;TR-03_2-033-E;NO;1
499;SJ;TR-03_2-035;2TTx64;-0,454;2,580;2,620;280,000;TR-03_2-036-W;NO;1;-1,614;1,677;285,700;TR-03_2-034-E;NO;1
500;SJ;TR-03_2-036;2TTx64;-0,670;2,022;2,130;288,300;TR-03_2-037-W;NO;1;-2,337;2,431;286,000;TR-03_2-035-E;NO;1
501;SJ;TR-03_2-037;2TTx64;-1,197;2,695;2,949;293,900;TR-03_2-038-W;NO;1;-3,070;3,295;291,300;TR-03_2-036-E;NO;1
502;SJ;TR-03_2-038;2TTx64;-1,605;1,906;2,492;310,100;TR-03_2-039-W;NO;1;-1,821;2,427;311,400;TR-03_2-037-E;NO;1
503;SJ;TR-03_2-039;2TTx64;-0,980;1,723;1,982;299,600;TR-03_2-040-W;NO;1;-0,814;1,274;320,300;TR-03_2-038-E;NO;1
504;SJ;TR-03_2-040;2TTx64;-1,074;1,414;1,776;307,200;TR-03_2-041-W;NO;1;-1,733;2,039;301,800;TR-03_2-039-E;NO;1
505;SJ;TR-03_2-041;2TTx64;-1,825;2,391;3,008;307,300;TR-03_2-042-W;NO;1;-2,284;2,923;308,600;TR-03_2-040-E;NO;1
506;SJ;TR-03_2-042;2TTx64;-1,934;1,959;2,753;314,600;TR-03_2-043-W;NO;1;-2,359;3,051;309,400;TR-03_2-041-E;NO;1
507;SJ;TR-03_2-043;2TTx64;-2,064;-0,781;2,206;20,700;TR-03_2-044-W;NO;1;-2,364;3,138;311,100;TR-03_2-042-E;NO;1
508;SJ;TR-03_2-044;2TTx64;-2,076;1,956;2,852;316,700;TR-03_2-045-W;NO;1;1,549;2,590;36,700;TR-03_2-043-E;NO;1
509;SJ;TR-03_2-045;2TTx64;-2,159;2,865;3,587;307,000;TR-03_2-046-W;NO;1;-4,401;4,902;296,100;TR-03_2-044-E;NO;1
510;SJ;TR-03_2-046;2TTx64;-1,803;4,765;5,095;290,700;TR-03_2-047-W;NO;1;-1,893;2,614;313,600;TR-03_2-045-E;NO;1
511;SJ;TR-03_2-047;2TTx64;-1,375;0,249;1,398;349,700;TR-03_2-048-W;NO;1;-3,544;3,802;291,200;TR-03_2-046-E;NO;1
512;SJ;TR-03_2-048;2TTx64;-1,437;0,529;1,531;339,800;TR-05_2-025-W;NO;1;-1,442;2,036;314,900;TR-03_2-047-E;NO;1
513;SJ;TR-03_2-049;2TTx64;1,083;0,799;1,346;216,400;TR-03_2-050-W;NO;1;-3,475;3,640;252,700;TR-06_1-079-E;NO;1
514;SJ;TR-03_2-050;2TTx64;-0,832;0,887;1,216;313,200;TR-03_2-051-W;NO;1;-0,312;0,889;339,400;TR-03_2-049-E;NO;1
515;SJ;TR-03_2-051;2TTx64;-0,924;2,069;2,266;294,100;TR-03_2-052-W;NO;1;-0,143;0,935;351,200;TR-03_2-050-E;NO;1
516;SJ;TR-03_2-052;2TTx64;-0,532;0,756;0,924;305,100;TR-03_2-053-W;NO;1;-0,683;0,866;307,900;TR-03_2-051-E;NO;1
517;SJ;TR-03_2-053;2TTx64;-0,684;0,414;0,799;328,800;TR-03_2-054-W;NO;1;-3,824;3,885;280,100;TR-03_2-052-E;NO;1
518;SJ;TR-03_2-054;2TTx64;-0,397;4,524;4,541;275,000;TR-03_2-055-W;NO;1;-0,368;0,541;317,200;TR-03_2-053-E;NO;1
519;SJ;TR-03_2-055;2TTx64;-0,538;4,472;4,504;276,900;TR-03_2-056-W;NO;1;-5,389;5,416;275,700;TR-03_2-054-E;NO;1
520;SJ;TR-03_2-056;2TTx64;0,251;2,636;2,648;264,600;TR-03_2-057-W;NO;1;-4,696;4,703;266,900;TR-03_2-055-E;NO;1
521;SJ;TR-03_2-057;2TTx64;-0,116;0,924;0,931;277,200;;NO;0;-6,291;6,292;271,100;TR-03_2-056-E;NO;1
522;SJ;TR-03_2-060;2TTx64;0,773;1,354;1,559;240,300;TR-03_2-061-W;NO;1;;;;;;
523;SJ;TR-03_2-061;2TTx64;0,713;3,219;3,297;257,500;;NO;0;-1,354;1,530;242,200;TR-03_2-060-E;NO;1
524;SJ;TR-03_2-062;2TTx64;0,309;2,046;2,069;261,400;TR-03_2-063-W;NO;1;-4,301;4,312;265,900;;NO;0
525;SJ;TR-03_2-063;2TTx64;0,058;1,957;1,958;268,300;;NO;0;-3,253;3,254;269,000;TR-03_2-062-E;NO;1
526;SJ;TR-03_2-064;2TTx64;0,351;1,468;1,509;256,500;TR-03_2-065-W;NO;1;-1,957;1,988;259,800;;NO;0
527;SJ;TR-03_2-065;2TTx64;0,411;1,900;1,944;257,800;TR-03_2-066-W;NO;1;-1,577;1,630;255,400;TR-03_2-064-E;NO;1
528;SJ;TR-03_2-066;2TTx64;0,053;2,174;2,175;268,600;TR-03_2-067-W;NO;1;-2,561;2,562;268,800;TR-03_2-065-E;NO;1
529;SJ;TR-03_2-067;2TTx64;-0,338;3,205;3,223;276,000;TR-03_2-068-W;NO;1;-2,070;2,097;279,300;TR-03_2-066-E;NO;1
530;SJ;TR-03_2-068;2TTx64;-0,095;1,754;1,757;273,100;TR-05_2-052-W;NO;1;-3,436;3,437;271,600;TR-03_2-067-E;NO;1
531;SJ;TR-03_2-069;2TTx64;-3,210;1,820;3,690;330,400;TR-03_2-070-W;NO;1;-4,833;5,802;303,600;TR-06_1-096-E;NO;1
532;SJ;TR-03_2-070;2TTx64;-2,719;2,145;3,464;321,700;TR-03_2-071-W;NO;1;-1,501;3,106;331,100;TR-03_2-069-E;NO;1
533;SJ;TR-03_2-071;2TTx64;-2,912;1,808;3,427;328,200;TR-03_2-072-W;NO;1;-0,331;2,930;353,500;TR-03_2-070-E;NO;1
534;SJ;TR-03_2-072;2TTx64;-2,683;4,242;5,019;302,300;TR-03_2-073-W;NO;1;-0,637;2,757;346,600;TR-03_2-071-E;NO;1
535;SJ;TR-03_2-073;2TTx64;-2,161;-0,174;2,168;4,600;TR-03_2-074-W;NO;1;0,746;2,286;19,000;TR-03_2-072-E;NO;1
536;SJ;TR-03_2-074;2TTx64;-2,181;1,366;2,574;327,900;TR-03_2-075-W;NO;1;-0,134;2,185;356,500;TR-03_2-073-E;NO;1
537;SJ;TR-03_2-075;2TTx64;-1,067;1,700;2,007;302,100;TR-03_2-076-W;NO;1;-2,430;2,654;293,700;TR-03_2-074-E;NO;1
538;SJ;TR-03_2-076;2TTx64;-1,360;;;;;;;-1,666;2,150;309,200;TR-03_2-075-E;NO;1
539;SJ;TR-03_2-077;2TTx64;-0,666;2,118;2,220;287,500;;NO;0;;;;;;
540;SJ;TR-03_2-078;2TTx64;-1,413;1,002;1,732;324,700;TR-03_2-079-W;NO;1;-1,536;2,087;312,600;;NO;0
541;SJ;TR-03_2-079;2TTx64;-0,748;0,650;0,991;319,000;TR-03_2-080-W;NO;1;-1,002;1,251;306,800;TR-03_2-078-E;NO;1
542;SJ;TR-03_2-080;2TTx64;-0,754;1,551;1,725;295,900;TR-03_2-081-W;NO;1;-1,537;1,712;296,100;TR-03_2-079-E;NO;1
543;SJ;TR-03_2-081;2TTx64;-0,161;2,684;2,689;273,400;TR-03_2-082-W;NO;1;-3,227;3,231;272,900;TR-03_2-080-E;NO;1
544;SJ;TR-03_2-082;2TTx64;0,055;1,161;1,162;267,300;TR-03_2-083-W;NO;1;-4,048;4,048;269,200;TR-03_2-081-E;NO;1
545;SJ;TR-03_2-083;2TTx64;0,286;2,349;2,366;263,100;TR-03_2-084-W;NO;1;-2,126;2,145;262,300;TR-03_2-082-E;NO;1
546;SJ;TR-03_2-084;2TTx64;-0,288;2,839;2,854;275,800;TR-03_2-085-W;NO;1;-0,874;0,920;288,200;TR-03_2-083-E;NO;1
547;SJ;TR-03_2-085;2TTx64;-0,622;8,020;8,044;274,400;TR-03_2-086-W;NO;1;-1,550;1,670;291,900;TR-03_2-084-E;NO;1
548;SJ;TR-03_2-086;2TTx64;-1,810;3,634;4,060;296,500;;NO;0;-6,236;6,493;286,200;TR-03_2-085-E;NO;1
549;SJ;TR-03_2-087;2TTx64;-1,159;-0,047;1,160;2,300;TR-03_2-088-W;NO;1;-3,634;3,814;287,700;;NO;0
550;SJ;TR-03_2-088;2TTx64;-1,309;2,214;2,572;300,600;TR-05_2-067-W;NO;1;0,174;1,321;7,600;TR-03_2-087-E;NO;1
551;SJ;TR-03_2-089;2TTx64;2,781;-0,000;2,781;180,000;TR-03_2-090-W;NO;1;-5,255;5,945;242,100;TR-06_1-113-E;NO;1
552;SJ;TR-03_2-090;2TTx64;3,005;2,231;3,743;216,600;TR-03_2-091-W;NO;1;0,042;3,005;179,200;TR-03_2-089-E;NO;1
553;SJ;TR-03_2-091;2TTx64;2,738;1,442;3,095;207,800;TR-03_2-092-W;NO;1;-1,726;3,237;212,200;TR-03_2-090-E;NO;1
554;SJ;TR-03_2-092;2TTx64;2,535;2,222;3,371;221,200;TR-03_2-093-W;NO;1;-1,032;2,737;202,200;TR-03_2-091-E;NO;1
555;SJ;TR-03_2-093;2TTx64;1,749;0,411;1,797;193,200;TR-03_2-094-W;NO;1;-0,708;1,887;202,000;TR-03_2-092-E;NO;1
556;SJ;TR-03_2-094;2TTx64;1,606;2,630;3,081;238,600;TR-03_2-095-W;NO;1;0,336;1,640;168,200;TR-03_2-093-E;NO;1
557;SJ;TR-03_2-095;2TTx64;1,164;2,050;2,358;240,400;TR-03_2-096-W;NO;1;-2,727;2,965;246,900;TR-03_2-094-E;NO;1
558;SJ;TR-03_2-096;2TTx64;0,674;0,522;0,853;217,800;TR-03_2-097-W;NO;1;-1,726;1,853;248,700;TR-03_2-095-E;NO;1
559;SJ;TR-03_2-097;2TTx64;0,415;3,355;3,381;262,900;TR-03_2-098-W;NO;1;-1,205;1,275;251,000;TR-03_2-096-E;NO;1
560;SJ;TR-03_2-098;2TTx64;0,418;0,233;0,478;209,100;TR-03_2-099-W;NO;1;-4,282;4,302;264,400;TR-03_2-097-E;NO;1
561;SJ;TR-03_2-099;2TTx64;0,205;0,843;0,868;256,300;TR-03_2-100-W;NO;1;0,019;0,206;174,700;TR-03_2-098-E;NO;1
562;SJ;TR-03_2-100;2TTx64;0,013;2,650;2,650;269,700;TR-03_2-101-W;NO;1;-1,161;1,161;269,300;TR-03_2-099-E;NO;1
563;SJ;TR-03_2-101;2TTx64;-0,226;2,207;2,219;275,800;TR-03_2-102-W;NO;1;-2,872;2,881;274,500;TR-03_2-100-E;NO;1
564;SJ;TR-03_2-102;2TTx64;-0,306;1,164;1,203;284,700;TR-03_2-103-W;NO;1;-2,371;2,391;277,300;TR-03_2-101-E;NO;1
565;SJ;TR-03_2-103;2TTx64;-0,346;3,180;3,199;276,200;TR-03_2-104-W;NO;1;-1,478;1,518;283,200;TR-03_2-102-E;NO;1
566;SJ;TR-03_2-104;2TTx64;-0,475;3,403;3,436;277,900;TR-03_2-105-W;NO;1;-3,227;3,262;278,400;TR-03_2-103-E;NO;1
567;SJ;TR-03_2-105;2TTx64;0,332;4,466;4,478;265,800;TR-03_2-106-W;NO;1;-4,444;4,456;265,700;TR-03_2-104-E;NO;1
568;SJ;TR-03_2-106;2TTx64;0,738;3,092;3,179;256,600;TR-03_2-107-W;NO;1;-5,116;5,169;261,800;TR-03_2-105-E;NO;1
569;SJ;TR-03_2-107;2TTx64;-0,090;3,335;3,336;271,500;;NO;0;-3,204;3,205;271,600;TR-03_2-106-E;NO;1
570;SJ;TR-03_2-108;2TTx64;-0,335;2,973;2,992;276,400;TR-05_2-070-W;NO;1;-3,419;3,435;275,600;;NO;0
571;SJ;TR-03_2-109;2TTx64;-0,861;0,664;1,088;322,400;TR-03_2-110-W;NO;1;;;;;;
572;SJ;TR-03_2-110;2TTx64;-0,380;-1,134;1,196;71,500;TR-03_2-111-W;NO;1;-3,594;3,614;276,000;TR-03_2-109-E;NO;1
573;SJ;TR-03_2-111;2TTx64;-0,336;2,147;2,173;278,900;TR-03_2-112-W;NO;1;-0,152;0,369;335,700;TR-03_2-110-E;NO;1
574;SJ;TR-03_2-112;2TTx64;-0,543;3,773;3,812;278,200;TR-03_2-113-W;NO;1;-2,291;2,354;283,300;TR-03_2-111-E;NO;1
575;SJ;TR-03_2-113;2TTx64;-0,486;2,882;2,923;279,600;TR-03_2-114-W;NO;1;-1,008;1,119;295,800;TR-03_2-112-E;NO;1
576;SJ;TR-03_2-114;2TTx64;-0,454;2,640;2,679;279,800;TR-03_2-115-W;NO;1;-2,764;2,801;279,300;TR-03_2-113-E;NO;1
577;SJ;TR-03_2-115;2TTx64;-0,444;2,862;2,896;278,800;TR-03_2-116-W;NO;1;-3,257;3,287;277,800;TR-03_2-114-E;NO;1
578;SJ;TR-03_2-116;2TTx64;-0,344;2,278;2,304;278,600;TR-03_2-117-W;NO;1;-2,945;2,965;276,700;TR-03_2-115-E;NO;1
579;SJ;TR-03_2-117;2TTx64;-0,206;1,372;1,387;278,500;TR-03_2-118-W;NO;1;-2,156;2,166;275,500;TR-03_2-116-E;NO;1
580;SJ;TR-03_2-118;2TTx64;0,041;4,716;4,716;269,500;TR-03_2-119-W;NO;1;-3,540;3,540;269,300;TR-03_2-117-E;NO;1
581;SJ;TR-03_2-119;2TTx64;0,471;1,990;2,045;256,700;TR-03_2-120-W;NO;1;-4,398;4,423;263,900;TR-03_2-118-E;NO;1
582;SJ;TR-03_2-120;2TTx64;0,638;3,662;3,717;260,100;TR-05_2-084-W;NO;1;-2,156;2,248;253,500;TR-03_2-119-E;NO;1
583;SJ;TR-04_1-001;2TTx64;-1,241;2,939;3,190;292,900;TR-04_1-002-W;NO;1;-2,798;3,061;293,900;TR-04_2-017-E;NO;1
584;SJ;TR-04_1-002;2TTx64;-0,981;3,468;3,604;285,800;TR-04_1-003-W;NO;1;-2,810;2,976;289,200;TR-04_1-001-E;NO;1
585;SJ;TR-04_1-003;2TTx64;-0,647;1,689;1,809;291,000;TR-04_1-004-W;NO;1;-3,188;3,253;281,500;TR-04_1-002-E;NO;1
586;SJ;TR-04_1-004;2TTx64;-0,766;3,824;3,900;281,300;TR-04_1-005-W;NO;1;-3,025;3,120;284,200;TR-04_1-003-E;NO;1
587;SJ;TR-04_1-005;2TTx64;-0,589;3,249;3,302;280,300;TR-04_1-006-W;NO;1;-4,387;4,426;277,700;TR-04_1-004-E;NO;1
588;SJ;TR-04_1-006;2TTx64;-0,642;1,987;2,088;287,900;TR-04_1-007-W;NO;1;-3,277;3,339;281,100;TR-04_1-005-E;NO;1
589;SJ;TR-04_1-007;2TTx64;-0,526;0,997;1,127;297,800;TR-04_1-008-W;NO;1;-2,518;2,572;281,800;TR-04_1-006-E;NO;1
590;SJ;TR-04_1-008;2TTx64;-0,871;3,179;3,296;285,300;TR-04_1-009-W;NO;1;0,083;0,875;5,400;TR-04_1-007-E;NO;1
591;SJ;TR-04_1-009;2TTx64;0,115;1,652;1,656;266,000;;NO;0;-3,692;3,694;268,200;TR-04_1-008-E;NO;1
592;SJ;TR-04_1-010;2TTx64;0,285;2,575;2,591;263,700;TR-04_1-011-W;NO;1;-2,531;2,547;263,600;TR-04_2-034-E;NO;1
593;SJ;TR-04_1-011;2TTx64;0,390;5,329;5,343;265,800;TR-04_1-012-W;NO;1;-2,599;2,628;261,500;TR-04_1-010-E;NO;1
594;SJ;TR-04_1-012;2TTx64;-0,043;2,369;2,369;271,000;TR-04_1-013-W;NO;1;-4,364;4,364;270,600;TR-04_1-011-E;NO;1
595;SJ;TR-04_1-013;2TTx64;-0,176;2,614;2,620;273,900;TR-04_1-014-W;NO;1;-3,479;3,483;272,900;TR-04_1-012-E;NO;1
596;SJ;TR-04_1-014;2TTx64;-0,306;2,340;2,360;277,500;TR-04_1-015-W;NO;1;-3,279;3,293;275,300;TR-04_1-013-E;NO;1
597;SJ;TR-04_1-015;2TTx64;-0,212;3,764;3,770;273,200;TR-04_1-016-W;NO;1;-3,167;3,174;273,800;TR-04_1-014-E;NO;1
598;SJ;TR-04_1-016;2TTx64;-0,412;1,082;1,158;290,800;TR-04_1-017-W;NO;1;-2,996;3,024;277,800;TR-04_1-015-E;NO;1
599;SJ;TR-04_1-017;2TTx64;-0,232;0,532;0,580;293,500;TR-04_1-018-W;NO;1;-6,811;6,815;271,900;TR-04_1-016-E;NO;1
600;SJ;TR-04_1-018;2TTx64;-0,303;-1,476;1,507;78,400;TR-04_1-019-W;NO;1;-1,875;1,899;279,200;TR-04_1-017-E;NO;1
601;SJ;TR-04_1-019;2TTx64;-0,555;2,599;2,658;282,100;TR-04_1-020-W;NO;1;0,799;0,973;55,200;TR-04_1-018-E;NO;1
602;SJ;TR-04_1-020;2TTx64;-0,820;2,774;2,893;286,500;TR-04_1-021-W;NO;1;-1,485;1,696;298,900;TR-04_1-019-E;NO;1
603;SJ;TR-04_1-021;2TTx64;-0,850;3,776;3,871;282,700;TR-04_1-022-W;NO;1;-4,897;4,970;279,800;TR-04_1-020-E;NO;1
604;SJ;TR-04_1-022;2TTx64;-1,194;3,355;3,561;289,600;TR-04_1-023-W;NO;1;-3,549;3,745;288,600;TR-04_1-021-E;NO;1
605;SJ;TR-04_1-023;2TTx64;-1,535;1,698;2,289;312,100;TR-04_1-024-W;NO;1;-2,582;3,004;300,700;TR-04_1-022-E;NO;1
606;SJ;TR-04_1-024;2TTx64;-1,418;2,659;3,014;298,100;;NO;0;-1,882;2,357;307,000;TR-04_1-023-E;NO;1
607;SJ;TR-04_1-025;2TTx64;0,189;1,809;1,819;264,000;TR-04_1-026-W;NO;1;-1,388;1,401;262,300;TR-04_2-051-E;NO;1
608;SJ;TR-04_1-026;2TTx64;0,248;4,238;4,245;266,700;TR-04_1-027-W;NO;1;-1,633;1,652;261,400;TR-04_1-025-E;NO;1
609;SJ;TR-04_1-027;2TTx64;0,087;2,888;2,889;268,300;TR-04_1-028-W;NO;1;-4,174;4,175;268,800;TR-04_1-026-E;NO;1
610;SJ;TR-04_1-028;2TTx64;-0,037;3,298;3,298;270,600;TR-04_1-029-W;NO;1;-5,672;5,672;270,400;TR-04_1-027-E;NO;1
611;SJ;TR-04_1-029;2TTx64;0,270;0,586;0,645;245,300;TR-04_1-030-W;NO;1;-4,843;4,851;266,800;TR-04_1-028-E;NO;1
612;SJ;TR-04_1-030;2TTx64;-0,064;4,915;4,915;270,800;TR-04_1-031-W;NO;1;-1,673;1,674;272,200;TR-04_1-029-E;NO;1
613;SJ;TR-04_1-031;2TTx64;-0,086;1,866;1,868;272,600;TR-04_1-032-W;NO;1;-3,786;3,787;271,300;TR-04_1-030-E;NO;1
614;SJ;TR-04_1-032;2TTx64;0,019;1,403;1,403;269,200;TR-04_1-033-W;NO;1;-4,843;4,843;269,800;TR-04_1-031-E;NO;1
615;SJ;TR-04_1-033;2TTx64;-0,219;1,556;1,571;278,000;TR-04_1-034-W;NO;1;-2,251;2,262;275,600;TR-04_1-032-E;NO;1
616;SJ;TR-04_1-034;2TTx64;-0,667;4,380;4,430;278,700;TR-04_1-035-W;NO;1;-1,923;2,035;289,100;TR-04_1-033-E;NO;1
617;SJ;TR-04_1-035;2TTx64;-1,085;4,395;4,527;283,900;TR-04_1-036-W;NO;1;-3,571;3,732;286,900;TR-04_1-034-E;NO;1
618;SJ;TR-04_1-036;2TTx64;-1,270;4,833;4,997;284,700;TR-04_1-037-W;NO;1;-4,700;4,868;285,100;TR-04_1-035-E;NO;1
619;SJ;TR-04_1-037;2TTx64;-1,389;4,565;4,772;286,900;TR-04_1-038-W;NO;1;-4,085;4,315;288,800;TR-04_1-036-E;NO;1
620;SJ;TR-04_1-038;2TTx64;-1,101;4,646;4,775;283,300;TR-04_1-039-W;NO;1;-3,090;3,280;289,600;TR-04_1-037-E;NO;1
621;SJ;TR-04_1-039;2TTx64;-1,304;4,034;4,240;287,900;TR-04_1-040-W;NO;1;-2,989;3,261;293,600;TR-04_1-038-E;NO;1
622;SJ;TR-04_1-040;2TTx64;-1,029;-0,082;1,033;4,600;TR-03_1-001-W;NO;1;-3,714;3,854;285,500;TR-04_1-039-E;NO;1
623;SJ;TR-04_1-041;2TTx64;-1,443;1,468;2,058;314,500;TR-04_1-042-W;NO;1;-4,058;4,307;289,600;TR-04_2-068-E;NO;1
624;SJ;TR-04_1-042;2TTx64;-1,268;2,460;2,767;297,300;TR-04_1-043-W;NO;1;-1,932;2,311;303,300;TR-04_1-041-E;NO;1
625;SJ;TR-04_1-043;2TTx64;-1,574;3,168;3,538;296,400;TR-04_1-044-W;NO;1;-2,811;3,222;299,300;TR-04_1-042-E;NO;1
626;SJ;TR-04_1-044;2TTx64;-1,621;4,204;4,506;291,100;TR-04_1-045-W;NO;1;-2,805;3,240;300,000;TR-04_1-043-E;NO;1
627;SJ;TR-04_1-045;2TTx64;-1,568;4,115;4,404;290,900;TR-04_1-046-W;NO;1;-4,173;4,458;290,600;TR-04_1-044-E;NO;1
628;SJ;TR-04_1-046;2TTx64;-1,195;2,973;3,204;291,900;TR-04_1-047-W;NO;1;-4,018;4,192;286,600;TR-04_1-045-E;NO;1
629;SJ;TR-04_1-047;2TTx64;-0,556;2,433;2,496;282,900;TR-04_1-048-W;NO;1;-2,288;2,355;283,700;TR-04_1-046-E;NO;1
630;SJ;TR-04_1-048;2TTx64;-0,907;0,411;0,996;335,600;TR-04_1-049-W;NO;1;-1,225;1,524;306,500;TR-04_1-047-E;NO;1
631;SJ;TR-04_1-049;2TTx64;-0,419;2,044;2,087;281,600;TR-04_1-050-W;NO;1;-1,572;1,627;284,900;TR-04_1-048-E;NO;1
632;SJ;TR-04_1-050;2TTx64;0,029;2,731;2,731;269,400;TR-04_1-051-W;NO;1;-3,221;3,221;269,500;TR-04_1-049-E;NO;1
633;SJ;TR-04_1-051;2TTx64;0,328;6,909;6,917;267,300;TR-04_1-052-W;NO;1;-1,816;1,845;259,800;TR-04_1-050-E;NO;1
634;SJ;TR-04_1-052;2TTx64;-1,147;5,408;5,528;282,000;TR-04_1-053-W;NO;1;-8,487;8,564;277,700;TR-04_1-051-E;NO;1
635;SJ;TR-04_1-053;2TTx64;-0,658;0,272;0,712;337,600;TR-04_1-054-W;NO;1;-5,499;5,538;276,800;TR-04_1-052-E;NO;1
636;SJ;TR-04_1-054;2TTx64;-0,248;3,774;3,782;273,800;TR-04_1-055-W;NO;1;-0,034;0,250;352,200;TR-04_1-053-E;NO;1
637;SJ;TR-04_1-055;2TTx64;-0,443;2,161;2,206;281,600;TR-04_1-056-W;NO;1;-3,743;3,769;276,800;TR-04_1-054-E;NO;1
638;SJ;TR-04_1-056;2TTx64;0,026;2,960;2,960;269,500;TR-03_1-018-W;NO;1;-2,776;2,776;269,500;TR-04_1-055-E;NO;1
639;SJ;TR-04_1-057;2TTx64;-1,261;1,397;1,882;312,100;TR-04_1-058-W;NO;1;-2,465;2,769;297,100;TR-04_2-085-E;NO;1
640;SJ;TR-04_1-058;2TTx64;-1,365;1,769;2,234;307,700;TR-04_1-059-W;NO;1;-1,215;1,827;318,300;TR-04_1-057-E;NO;1
641;SJ;TR-04_1-059;2TTx64;-1,777;2,307;2,912;307,600;TR-04_1-060-W;NO;1;-1,718;2,472;316,000;TR-04_1-058-E;NO;1
642;SJ;TR-04_1-060;2TTx64;-1,554;2,476;2,923;302,100;TR-04_1-061-W;NO;1;-0,164;1,563;354,000;TR-04_1-059-E;NO;1
643;SJ;TR-04_1-061;2TTx64;-1,518;2,067;2,564;306,300;TR-04_1-062-W;NO;1;-2,925;3,295;297,400;TR-04_1-060-E;NO;1
644;SJ;TR-04_1-062;2TTx64;-1,762;3,076;3,545;299,800;TR-04_1-063-W;NO;1;-2,329;2,921;307,100;TR-04_1-061-E;NO;1
645;SJ;TR-04_1-063;2TTx64;-1,555;1,994;2,529;308,000;;NO;0;-2,603;3,032;300,900;TR-04_1-062-E;NO;1
646;SJ;TR-04_1-066;2TTx64;-1,653;2,405;2,918;304,500;TR-04_1-067-W;NO;1;;;;;;
647;SJ;TR-04_1-067;2TTx64;-1,596;6,556;6,748;283,700;TR-04_1-068-W;NO;1;0,227;1,612;8,100;TR-04_1-066-E;NO;1
648;SJ;TR-04_1-068;2TTx64;-2,108;2,178;3,031;314,100;TR-04_1-069-W;NO;1;-1,579;2,634;323,200;TR-04_1-067-E;NO;1
649;SJ;TR-04_1-069;2TTx64;-1,418;6,742;6,890;281,900;TR-04_1-070-W;NO;1;-1,031;1,753;324,000;TR-04_1-068-E;NO;1
650;SJ;TR-04_1-070;2TTx64;-0,795;1,391;1,602;299,800;TR-04_1-071-W;NO;1;-6,559;6,607;276,900;TR-04_1-069-E;NO;1
651;SJ;TR-04_1-071;2TTx64;0,188;2,857;2,863;266,200;TR-04_1-072-W;NO;1;-1,827;1,837;264,100;TR-04_1-070-E;NO;1
652;SJ;TR-04_1-072;2TTx64;1,416;3,642;3,908;248,800;TR-04_1-073-W;NO;1;-3,141;3,445;245,700;TR-04_1-071-E;NO;1
653;SJ;TR-04_1-073;2TTx64;1,536;1,654;2,257;227,100;TR-03_1-035-W;NO;1;-4,229;4,499;250,000;TR-04_1-072-E;NO;1
654;SJ;TR-04_1-074;2TTx64;-2,069;1,402;2,499;325,900;TR-04_1-075-W;NO;1;-2,037;2,904;315,400;TR-04_2-102-E;NO;1
655;SJ;TR-04_1-075;2TTx64;-1,471;2,599;2,987;299,500;TR-04_1-076-W;NO;1;-0,984;1,770;326,200;TR-04_1-074-E;NO;1
656;SJ;TR-04_1-076;2TTx64;-1,527;2,391;2,837;302,600;TR-04_1-077-W;NO;1;-3,470;3,791;293,800;TR-04_1-075-E;NO;1
657;SJ;TR-04_1-077;2TTx64;-2,021;-0,047;2,021;1,300;TR-04_1-078-W;NO;1;-3,458;4,005;300,300;TR-04_1-076-E;NO;1
658;SJ;TR-04_1-078;2TTx64;-2,126;0,524;2,189;346,200;TR-04_1-079-W;NO;1;-1,187;2,435;330,800;TR-04_1-077-E;NO;1
659;SJ;TR-04_1-079;2TTx64;-2,285;1,926;2,988;319,900;TR-04_1-080-W;NO;1;-1,248;2,603;331,400;TR-04_1-078-E;NO;1
660;SJ;TR-04_1-080;2TTx64;-1,913;1,061;2,187;331,000;;NO;0;-1,867;2,673;315,700;TR-04_1-079-E;NO;1
661;SJ;TR-04_1-081;2TTx64;-1,831;4,125;4,513;293,900;TR-04_1-082-W;NO;1;-3,270;3,748;299,200;;NO;0
662;SJ;TR-04_1-082;2TTx64;-2,332;2,456;3,387;313,500;TR-04_1-083-W;NO;1;-4,144;4,755;299,400;TR-04_1-081-E;NO;1
