tracker;zona;id;tipo;pend_long_pct;este_pend_transv_pct;este_pend_vector_pct;este_azimut_deg;este_vecina_critica;este_es_hermana;este_n_candidatas;oeste_pend_transv_pct;oeste_pend_vector_pct;oeste_azimut_deg;oeste_vecina_critica;oeste_es_hermana;oeste_n_candidatas
1976;SJ;TR-10_1-017;2TTx64;0,131;0,939;0,948;262,100;TR-10_1-018-W;NO;1;-2,662;2,665;267,200;TR-10_1-016-E;NO;1
1977;SJ;TR-10_1-018;2TTx64;-0,225;2,664;2,674;274,800;;NO;0;-1,173;1,194;280,900;TR-10_1-017-E;NO;1
1978;SJ;TR-10_1-019;2TTx64;-0,266;2,002;2,020;277,600;TR-10_1-020-W;NO;1;-2,410;2,425;276,300;;NO;0
1979;SJ;TR-10_1-020;2TTx64;-0,143;3,276;3,279;272,500;TR-10_1-021-W;NO;1;-2,002;2,007;274,100;TR-10_1-019-E;NO;1
1980;SJ;TR-10_1-021;2TTx64;0,213;1,139;1,159;259,400;TR-10_1-022-W;NO;1;-3,913;3,919;266,900;TR-10_1-020-E;NO;1
1981;SJ;TR-10_1-022;2TTx64;0,198;2,090;2,099;264,600;TR-10_1-023-W;NO;1;-2,050;2,059;264,500;TR-10_1-021-E;NO;1
1982;SJ;TR-10_1-023;2TTx64;0,254;2,850;2,861;264,900;TR-10_1-024-W;NO;1;-2,119;2,134;263,200;TR-10_1-022-E;NO;1
1983;SJ;TR-10_1-024;2TTx64;0,629;3,107;3,170;258,500;TR-10_1-025-W;NO;1;-3,020;3,085;258,200;TR-10_1-023-E;NO;1
1984;SJ;TR-10_1-025;2TTx64;0,519;-0,282;0,590;151,500;TR-10_1-026-W;NO;1;-3,064;3,108;260,400;TR-10_1-024-E;NO;1
1985;SJ;TR-10_1-026;2TTx64;0,566;3,444;3,490;260,700;TR-10_1-027-W;NO;1;-2,555;2,617;257,500;TR-10_1-025-E;NO;1
1986;SJ;TR-10_1-027;2TTx64;0,608;2,341;2,419;255,400;TR-09_2-016-W;NO;1;-4,383;4,425;262,100;TR-10_1-026-E;NO;1
1987;SJ;TR-10_1-028;2TTx64;-0,006;3,617;3,617;270,100;TR-10_1-029-W;NO;1;-1,684;1,684;270,200;TR-10_2-076-E;NO;1
1988;SJ;TR-10_1-029;2TTx64;-0,003;1,986;1,986;270,100;TR-10_1-030-W;NO;1;-3,191;3,191;270,000;TR-10_1-028-E;NO;1
1989;SJ;TR-10_1-030;2TTx64;0,209;3,588;3,594;266,700;TR-10_1-031-W;NO;1;-1,783;1,795;263,300;TR-10_1-029-E;NO;1
1990;SJ;TR-10_1-031;2TTx64;-0,103;2,246;2,248;272,600;TR-10_1-032-W;NO;1;-3,463;3,465;271,700;TR-10_1-030-E;NO;1
1991;SJ;TR-10_1-032;2TTx64;0,466;-0,042;0,467;174,800;;NO;0;-2,392;2,437;259,000;TR-10_1-031-E;NO;1
1992;SJ;TR-10_1-033;2TTx64;-0,071;3,410;3,411;271,200;TR-10_1-034-W;NO;1;-2,657;2,658;271,500;;NO;0
1993;SJ;TR-10_1-034;2TTx64;-0,008;2,828;2,828;270,200;TR-10_1-035-W;NO;1;-3,410;3,410;270,100;TR-10_1-033-E;NO;1
1994;SJ;TR-10_1-035;2TTx64;0,026;3,073;3,073;269,500;TR-10_1-036-W;NO;1;-2,816;2,816;269,500;TR-10_1-034-E;NO;1
1995;SJ;TR-10_1-036;2TTx64;-0,085;2,783;2,784;271,700;TR-10_1-037-W;NO;1;-3,072;3,073;271,600;TR-10_1-035-E;NO;1
1996;SJ;TR-10_1-037;2TTx64;-0,085;1,983;1,985;272,400;TR-10_1-038-W;NO;1;-2,697;2,698;271,800;TR-10_1-036-E;NO;1
1997;SJ;TR-10_1-038;2TTx64;-0,086;0,146;0,170;300,500;TR-10_1-039-W;NO;1;-2,882;2,883;271,700;TR-10_1-037-E;NO;1
1998;SJ;TR-10_1-039;2TTx64;-0,050;4,712;4,712;270,600;;NO;0;-0,971;0,972;272,900;TR-10_1-038-E;NO;1
1999;SJ;TR-10_1-042;2TTx64;-0,047;3,468;3,468;270,800;TR-10_1-043-W;NO;1;;;;;;
2000;SJ;TR-10_1-043;2TTx64;-0,490;1,491;1,569;288,200;TR-10_1-044-W;NO;1;-3,468;3,502;278,000;TR-10_1-042-E;NO;1
2001;SJ;TR-10_1-044;2TTx64;-0,294;1,933;1,955;278,600;TR-10_1-045-W;NO;1;-1,741;1,766;279,600;TR-10_1-043-E;NO;1
2002;SJ;TR-10_1-045;2TTx64;-0,788;2,747;2,858;286,000;TR-10_1-046-W;NO;1;-1,155;1,398;304,300;TR-10_1-044-E;NO;1
2003;SJ;TR-10_1-046;2TTx64;-0,951;1,655;1,909;299,900;TR-10_1-047-W;NO;1;-2,959;3,108;287,800;TR-10_1-045-E;NO;1
2004;SJ;TR-10_1-047;2TTx64;-1,015;2,137;2,366;295,400;TR-10_1-048-W;NO;1;-1,762;2,033;299,900;TR-10_1-046-E;NO;1
2005;SJ;TR-10_1-048;2TTx64;-1,011;2,210;2,430;294,600;TR-10_1-049-W;NO;1;-2,186;2,408;294,800;TR-10_1-047-E;NO;1
2006;SJ;TR-10_1-049;2TTx64;-0,948;2,472;2,648;291,000;TR-10_1-050-W;NO;1;-1,836;2,066;297,300;TR-10_1-048-E;NO;1
2007;SJ;TR-10_1-050;2TTx64;-1,053;2,784;2,976;290,700;TR-10_1-051-W;NO;1;-2,014;2,273;297,600;TR-10_1-049-E;NO;1
2008;SJ;TR-10_1-051;2TTx64;-0,916;1,467;1,730;302,000;TR-09_2-039-W;NO;1;-2,661;2,814;289,000;TR-10_1-050-E;NO;1
2009;SJ;TR-10_1-052;2TTx64;0,086;2,124;2,126;267,700;TR-10_1-053-W;NO;1;-2,775;2,776;268,200;TR-10_2-093-E;NO;1
2010;SJ;TR-10_1-053;2TTx64;-0,107;4,325;4,326;271,400;TR-10_1-054-W;NO;1;-1,550;1,554;273,900;TR-10_1-052-E;NO;1
2011;SJ;TR-10_1-054;2TTx64;0,043;0,366;0,368;263,400;TR-10_1-055-W;NO;1;-2,279;2,279;268,900;TR-10_1-053-E;NO;1
2012;SJ;TR-10_1-055;2TTx64;-0,388;3,540;3,561;276,300;TR-10_1-056-W;NO;1;-1,369;1,423;285,800;TR-10_1-054-E;NO;1
2013;SJ;TR-10_1-056;2TTx64;-0,485;2,039;2,096;283,400;TR-10_1-057-W;NO;1;-3,536;3,569;277,800;TR-10_1-055-E;NO;1
2014;SJ;TR-10_1-057;2TTx64;-0,385;2,798;2,824;277,800;TR-10_1-058-W;NO;1;-1,991;2,028;280,900;TR-10_1-056-E;NO;1
2015;SJ;TR-10_1-058;2TTx64;-0,773;4,080;4,153;280,700;TR-10_1-059-W;NO;1;-1,804;1,963;293,200;TR-10_1-057-E;NO;1
2016;SJ;TR-10_1-059;2TTx64;-0,210;1,666;1,679;277,200;TR-10_1-060-W;NO;1;-4,418;4,423;272,700;TR-10_1-058-E;NO;1
2017;SJ;TR-10_1-060;2TTx64;-0,527;2,335;2,394;282,700;TR-10_1-061-W;NO;1;-2,539;2,593;281,700;TR-10_1-059-E;NO;1
2018;SJ;TR-10_1-061;2TTx64;0,006;-0,094;0,094;93,900;TR-10_1-062-W;NO;1;-10,566;10,566;270,000;TR-10_1-060-E;NO;1
2019;SJ;TR-10_1-062;2TTx64;-0,465;2,008;2,061;283,000;TR-10_1-063-W;NO;1;-0,067;0,470;351,800;TR-10_1-061-E;NO;1
2020;SJ;TR-10_1-063;2TTx64;-0,386;1,421;1,472;285,200;;NO;0;-1,769;1,811;282,300;TR-10_1-062-E;NO;1
2021;SJ;TR-10_1-064;2TTx64;-0,394;1,959;1,998;281,400;TR-10_1-065-W;NO;1;-3,227;3,251;277,000;;NO;0
2022;SJ;TR-10_1-065;2TTx64;-0,021;3,142;3,142;270,400;TR-10_1-066-W;NO;1;-0,972;0,972;271,200;TR-10_1-064-E;NO;1
2023;SJ;TR-10_1-066;2TTx64;-0,031;2,716;2,716;270,700;TR-10_1-067-W;NO;1;-3,224;3,224;270,600;TR-10_1-065-E;NO;1
2024;SJ;TR-10_1-067;2TTx64;0,035;1,710;1,710;268,800;TR-10_1-068-W;NO;1;-2,754;2,754;269,300;TR-10_1-066-E;NO;1
2025;SJ;TR-10_1-068;2TTx64;-0,005;-1,216;1,216;89,800;TR-10_1-069-W;NO;1;-2,502;2,502;270,100;TR-10_1-067-E;NO;1
2026;SJ;TR-10_1-069;2TTx64;0,087;3,526;3,527;268,600;TR-10_1-070-W;NO;1;-3,933;3,934;268,700;TR-10_1-068-E;NO;1
2027;SJ;TR-10_1-070;2TTx64;-0,115;2,310;2,313;272,900;TR-10_1-071-W;NO;1;-3,804;3,806;271,700;TR-10_1-069-E;NO;1
