planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
ayora,13,62,TK 062-09,PD,PD-74,2TTx56,58,4.137,1.866,2.384,55,55,0.045459,0.499164,0.045459,0.499164,4.549,28.6,4.549,28.6,2.177,-2.177,-3.994,PD-74-0 (hermana),PD-74-1 (hermana)
ayora,13,61,TK 061-09,PD,PD-75,2TTx56,58,4.137,1.866,2.384,55,55,0.065446,0.111701,0.065636,6.14705,6.554,6.4,6.573,352.2,0.73,0.89,-6.513,PD-69-1,PD-81-0
ayora,13,60,TK 060-09,PD,PD-76,2TTx56,58,4.137,1.866,2.384,55,55,0.072761,0.043633,0.075317,6.017895,7.289,2.5,7.546,344.8,0.323,1.978,-7.282,PD-70-1,PD-83-0
ayora,12,50,TK 050-08,PD,PD-77,2TTx56,57,1.865,4.137,2.384,55,55,0.020117,0.675442,0.020117,0.675442,2.012,38.7,2.012,38.7,1.257,-1.257,-1.57,PD-77-0 (hermana),PD-77-1 (hermana)
ayora,11,35,TK 035-07,PD,PD-78,2TTx42,54,4.121,1.854,2.384,55,55,0.061692,5.757841,0.062927,5.72468,6.177,329.9,6.301,328,-3.102,3.341,-5.342,PD-72-1,PD-78-1 (hermana)
ayora,12,33,TK 033-08,PD,PD-79,2TTx56,58,4.137,1.866,2.384,55,55,0.015889,0.701622,0.015889,0.701622,1.589,40.2,1.589,40.2,1.025,-1.025,-1.215,PD-79-0 (hermana),PD-79-1 (hermana)
ayora,13,65,TK 065-09,PD,PD-80,2TTx56,62,4.123,1.887,2.384,55,55,0.054346,0.82205,0.0394,0.347321,5.44,47.1,3.942,19.9,3.983,-1.343,-3.706,PD-74-1,PD-80-1 (hermana)
ayora,13,64,TK 064-09,PD,PD-81,2TTx56,62,4.123,1.887,2.384,55,55,0.065845,0.057596,0.07113,5.890486,6.594,3.3,7.125,337.5,0.382,2.725,-6.583,PD-76-1,PD-81-1 (hermana)
ayora,10,84,TK 084-07,PD,PD-82,2TTx42,58,4.137,1.866,2.384,55,55,0.017948,0.699877,0.017388,0.66148,1.795,40.1,1.739,37.9,1.156,-1.068,-1.373,PD-82-0 (hermana),PD-89-0
ayora,13,63,TK 063-09,PD,PD-83,2TTx42,62,4.123,1.887,2.384,55,55,0.077057,6.052802,0.077057,6.052802,7.721,346.8,7.721,346.8,-1.761,1.761,-7.517,PD-83-0 (hermana),PD-83-1 (hermana)
ayora,12,51,TK 051-08,PD,PD-84,2TTx42,61,1.866,4.123,2.384,55,55,0.024435,0.778417,0.018848,0.39619,2.444,44.6,1.885,22.7,1.717,-0.728,-1.739,PD-77-1,PD-84-1 (hermana)
ayora,11,36,TK 036-07,PD,PD-85,2TTx42,58,4.137,1.866,2.384,55,55,0.051644,6.033603,0.061134,5.670575,5.169,345.7,6.121,324.9,-1.277,3.518,-5.009,PD-78-1,PD-85-1 (hermana)
ayora,12,34,TK 034-08,PD,PD-86,2TTx56,62,4.123,1.887,2.384,55,55,0.021896,0.993092,0.015469,0.685914,2.19,56.9,1.547,39.3,1.834,-0.98,-1.196,PD-79-1,PD-86-1 (hermana)
ayora,13,68,TK 068-09,PD,PD-87,2TTx56,66,4.087,1.923,2.384,55,55,0.045868,0.719076,0.045489,0.708604,4.59,41.2,4.552,40.6,3.021,-2.963,-3.455,PD-87-0 (hermana),PD-95-0
ayora,13,67,TK 067-09,PD,PD-88,2TTx56,66,4.087,1.923,2.384,55,55,0.066671,0.315905,0.067089,5.949827,6.677,18.1,6.719,340.9,2.07,2.2,-6.348,PD-81-1,PD-97-0
ayora,10,85,TK 085-07,PD,PD-89,2TTx42,62,4.123,1.887,2.384,55,55,0.017068,0.675442,0.016109,0.596903,1.707,38.7,1.611,34.2,1.068,-0.906,-1.332,PD-82-1,PD-89-1 (hermana)
ayora,13,66,TK 066-09,PD,PD-90,2TTx42,66,4.087,1.923,2.384,55,55,0.073716,6.276204,0.078498,5.932374,7.385,359.6,7.866,339.9,-0.054,2.71,-7.385,PD-90-0 (hermana),PD-98-0
ayora,12,52,TK 052-08,PD,PD-91,2TTx42,65,1.913,4.087,2.384,55,55,0.019787,0.904081,0.015239,0.640536,1.979,51.8,1.524,36.7,1.556,-0.91,-1.223,PD-84-1,PD-91-1 (hermana)
ayora,11,37,TK 037-07,PD,PD-92,2TTx42,62,4.123,1.887,2.384,55,55,0.056181,5.674065,0.065327,5.494296,5.624,325.1,6.542,314.8,-3.221,4.641,-4.611,PD-85-1,PD-100-0
ayora,11,1,TK 001-07,PD,PD-93,2TTx56,62,4.123,1.887,2.384,55,55,0.054885,5.665339,0.054885,5.665339,5.494,324.6,5.494,324.6,-3.18,3.18,-4.48,PD-93-0 (hermana),PD-93-1 (hermana)
ayora,12,35,TK 035-08,PD,PD-94,2TTx56,66,4.087,1.923,2.384,55,55,0.021737,0.916298,0.015149,0.509636,2.174,52.5,1.515,29.2,1.726,-0.739,-1.322,PD-94-0 (hermana),PD-103-0
ayora,13,71,TK 071-09,PD,PD-95,2TTx56,70,4.447,5.869,2.384,55,55,0.046067,0.698132,0.035295,0.003491,4.61,40,3.531,0.2,2.963,-0.015,-3.531,PD-87-1,PD-105-0
ayora,10,86,TK 086-07,PD,PD-96,2TTx42,66,4.087,1.923,2.384,55,55,0.019737,0.97913,0.019737,0.97913,1.974,56.1,1.974,56.1,1.639,-1.639,-1.1,PD-96-0 (hermana),PD-96-1 (hermana)
ayora,13,70,TK 070-09,PD,PD-97,2TTx56,70,4.447,5.869,2.384,55,55,0.067607,0.324631,0.066492,6.014405,6.771,18.6,6.659,344.6,2.159,1.773,-6.418,PD-97-0 (hermana),PD-107-0
ayora,13,69,TK 069-09,PD,PD-98,2TTx42,70,4.447,5.869,2.384,55,55,0.073666,6.263987,0.073666,6.263987,7.38,358.9,7.38,358.9,-0.146,0.146,-7.379,PD-98-0 (hermana),PD-98-1 (hermana)
ayora,12,53,TK 053-08,PD,PD-99,2TTx42,69,1.914,4.447,2.384,55,55,0.022726,0.991347,0.022726,0.991347,2.273,56.8,2.273,56.8,1.902,-1.902,-1.245,PD-99-0 (hermana),PD-99-1 (hermana)
ayora,11,38,TK 038-07,PD,PD-100,2TTx42,66,4.087,1.923,2.384,55,55,0.06452,5.482079,0.079969,5.307546,6.461,314.1,8.014,304.1,-4.641,6.635,-4.495,PD-92-1,PD-109-0
ayora,11,3,TK 003-07,PD,PD-101,2TTx56,66,4.087,1.923,2.384,55,55,0.05653,5.766568,0.06683,5.53793,5.659,330.4,6.693,317.3,-2.798,4.539,-4.919,PD-93-1,PD-110-0
ayora,11,2,TK 002-07,PD,PD-102,2TTx56,66,4.087,1.923,2.384,55,55,0.036903,6.058038,0.03889,5.893977,3.692,347.1,3.891,337.7,-0.825,1.479,-3.599,PD-102-0 (hermana),PD-110-0
ayora,12,36,TK 036-08,PD,PD-103,2TTx56,70,4.447,5.869,2.384,55,55,0.019048,0.654498,0.019048,0.654498,1.905,37.5,1.905,37.5,1.16,-1.16,-1.511,PD-103-0 (hermana),PD-103-1 (hermana)
ayora,13,74,TK 074-09,PD,PD-104,2TTx28,72,5.8,6.003,2.384,55,55,0.047345,0.727802,0.040188,5.787512,4.738,41.7,4.021,331.6,3.151,1.91,-3.538,PD-104-0 (hermana),PD-113-0
ayora,13,73,TK 073-09,PD,PD-105,2TTx56,72,5.8,6.003,2.384,55,55,0.057088,0.249582,0.056659,6.065019,5.715,14.3,5.672,347.5,1.408,1.226,-5.538,PD-105-0 (hermana),PD-113-0
ayora,10,87,TK 087-07,PD,PD-106,2TTx42,70,4.447,5.869,2.384,55,55,0.032529,1.183333,0.018388,0.839503,3.254,67.8,1.839,48.1,3.014,-1.37,-1.227,PD-96-1,PD-106-1 (hermana)
ayora,13,72,TK 072-09,PD,PD-107,2TTx56,72,5.8,6.003,2.384,55,55,0.071558,6.272713,0.071687,6.222099,7.168,359.4,7.181,356.5,-0.076,0.433,-7.168,PD-98-1,PD-107-1 (hermana)
ayora,10,66,TK 066-07,PD,PD-108,2TTx56,70,4.447,5.869,2.384,55,55,0.042115,0.431096,0.038721,0.153589,4.214,24.7,3.874,8.8,1.759,-0.592,-3.829,PD-108-0 (hermana),PD-117-0
ayora,11,39,TK 039-07,PD,PD-109,2TTx56,70,4.447,5.869,2.384,55,55,0.053708,5.609488,0.058404,5.51524,5.376,321.4,5.847,316,-3.351,4.064,-4.204,PD-109-0 (hermana),PD-118-0
ayora,11,5,TK 005-07,PD,PD-110,2TTx42,70,4.447,5.869,2.384,55,55,0.051425,5.991715,0.052213,5.944591,5.147,343.3,5.226,340.6,-1.479,1.737,-4.929,PD-102-1,PD-119-0
ayora,11,4,TK 004-07,PD,PD-111,2TTx56,70,4.447,5.869,2.384,55,55,0.027033,0.113446,0.027303,6.103416,2.704,6.5,2.731,349.7,0.306,0.489,-2.687,PD-102-1,PD-120-0
ayora,12,37,TK 037-08,PD,PD-112,2TTx42,72,5.8,6.003,2.384,55,55,0.022766,1.03149,0.015929,0.745256,2.277,59.1,1.593,42.7,1.953,-1.08,-1.171,PD-103-1,PD-112-1 (hermana)
ayora,13,77,TK 077-09,PD,PD-113,2TTx28,74,5.99,6.004,2.384,55,55,0.034436,0.39968,0.034436,0.39968,3.445,22.9,3.445,22.9,1.341,-1.341,-3.173,PD-113-0 (hermana),PD-113-1 (hermana)
ayora,10,88,TK 088-07,PD,PD-114,2TTx42,72,5.8,6.003,2.384,55,55,0.025005,0.893609,0.023865,0.853466,2.501,51.2,2.387,48.9,1.948,-1.8,-1.568,PD-114-0 (hermana),PD-124-0
ayora,13,76,TK 076-09,PD,PD-115,2TTx56,74,5.99,6.004,2.384,55,55,0.065616,0.286234,0.062947,0.001745,6.571,16.4,6.303,0.1,1.857,-0.006,-6.303,PD-107-1,PD-125-0
