planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
sanjose,1,39,TR-01_1-039,SJ,TR-01_1-039,2TTx64,483,6.267,6.116,2.382,55,55,0.0059,4.74555,0.016918,4.724606,0.59,271.9,1.692,270.7,-0.59,1.692,-0.02,TR-01_1-038-E,TR-01_1-040-W
sanjose,1,40,TR-01_1-040,SJ,TR-01_1-040,2TTx64,485,6.261,6.115,2.382,55,55,0.018858,4.925319,0.034307,4.829326,1.886,282.2,3.432,276.7,-1.843,3.409,-0.399,TR-01_1-039-E,TR-01_1-041-W
sanjose,1,41,TR-01_1-041,SJ,TR-01_1-041,2TTx64,487,6.299,6.101,2.382,55,55,0.035525,4.885177,0.03151,4.906121,3.554,279.9,3.152,281.1,-3.501,3.093,-0.609,TR-01_1-040-E,
sanjose,1,42,TR-01_1-042,SJ,TR-01_1-042,2TTx64,444,6.21,6.144,2.382,55,55,0.027893,4.918338,0.014859,5.105088,2.79,281.8,1.486,292.5,-2.731,1.373,-0.569,TR-02_2-119-E,
sanjose,1,43,TR-01_1-043,SJ,TR-01_1-043,2TTx64,447,6.821,6.129,2.382,55,55,0.018298,4.885177,0.024135,4.843289,1.83,279.9,2.414,277.5,-1.803,2.394,-0.314,,TR-01_1-044-W
sanjose,1,44,TR-01_1-044,SJ,TR-01_1-044,2TTx64,448,6.129,6.167,2.382,55,55,0.022876,4.778711,0.013349,4.825835,2.288,273.8,1.335,276.5,-2.283,1.326,-0.151,TR-01_1-043-E,TR-01_1-045-W
sanjose,1,45,TR-01_1-045,SJ,TR-01_1-045,2TTx64,450,6.223,6.152,2.382,55,55,0.025395,4.811873,0.025994,4.810127,2.54,275.7,2.6,275.6,-2.527,2.588,-0.254,TR-01_1-044-E,TR-01_1-046-W
sanjose,1,46,TR-01_1-046,SJ,TR-01_1-046,2TTx64,452,6.25,6.164,2.382,55,55,0.026364,4.790929,0.032549,4.775221,2.637,274.5,3.256,273.6,-2.629,3.249,-0.206,TR-01_1-045-E,TR-01_1-047-W
sanjose,1,47,TR-01_1-047,SJ,TR-01_1-047,2TTx64,454,6.322,6.176,2.382,55,55,0.034217,4.832817,0.017848,4.946263,3.423,276.9,1.785,283.4,-3.398,1.737,-0.413,TR-01_1-046-E,TR-01_1-048-W
sanjose,1,48,TR-01_1-048,SJ,TR-01_1-048,2TTx64,456,6.222,6.174,2.382,55,55,0.024135,4.989896,0.024125,4.989896,2.414,285.9,2.413,285.9,-2.322,2.321,-0.661,TR-01_1-047-E,TR-01_1-049-W
