cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
12,"Zaragoza · aleatorio 42 · N-S aleatorio 2° · mono · tresbolillo ×1 · 6 filas · az -20°",21-dic,660,23.493,33,"-55…55",0,-14.25,0.000000e+0,331.1290,0
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-jun,940,46.569,17,"-55…55",0,23.5,0.000000e+0,810.8620,0
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-jun,1220,24.806,17,"-30.5…55",1,-30.5,0.000000e+0,640.8280,97
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-mar,1360,3.475,33,"-13.25…20.25",2,-29,4.588101e-1,34.1113,27
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1080,71.222,17,"-55…55",0,-18.75,0.000000e+0,1158.7687,0
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1300,21.234,17,"-10.75…55",1,-55,4.385019e-1,510.2742,176
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,380,18.045,17,"-55…18.5",1,55,3.689453e-1,450.6875,145
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,1140,5.942,33,"1.25…12",2,-38,8.117935e-1,78.1454,52
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-mar,720,48.724,17,"-55…55",0,5.25,0.000000e+0,744.4882,0
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-dic,780,23.615,17,"-55…55",0,-33.5,0.000000e+0,388.0261,0
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-dic,980,2.011,33,"-1.75…6.5",2,-55,9.193942e-1,6.1408,18
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-jun,440,29.019,17,"-55…55",0,55,0.000000e+0,802.8591,0
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-jun,820,63.162,17,"-55…55",0,-20,0.000000e+0,932.4636,0
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,400,5.850,33,"-11.5…1",2,38.75,7.838017e-1,69.5329,41
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,500,23.882,17,"-55…40.25",1,40.25,0.000000e+0,729.2276,58
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,500,7.402,17,"-15.25…2.75",2,45.75,6.846305e-1,109.0874,49
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,740,24.876,17,"-55…55",0,24.75,0.000000e+0,383.0896,0
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,840,19.460,17,"-55…55",0,-37.25,0.000000e+0,307.8915,0
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1140,38.786,17,"-55…55",0,-47,0.000000e+0,925.8621,0
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,33,"-2.25…12.25",2,-33.75,7.699565e-1,47.6524,39
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,17,"-20.5…5.75",2,17,4.403889e-1,100.5768,58
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,1160,50.247,17,"-55…55",0,-42.5,0.000000e+0,1117.6779,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,840,43.826,33,"-55…55",0,47.75,0.000000e+0,1067.5871,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1140,54.635,33,"-55…55",0,-35,0.000000e+0,1080.1533,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,33,"2.5…13.75",2,-55,4.544742e-1,260.1171,64
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1000,83.044,33,"-55…55",0,1.5,0.000000e+0,1165.5137,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1020,82.351,33,"-55…55",0,-3.5,0.000000e+0,1165.2543,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1100,66.799,33,"-55…55",0,-23.75,0.000000e+0,1153.8479,0
17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1140,57.751,33,"-55…55",0,-33.5,0.000000e+0,1137.1412,0
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-jun,920,44.450,33,"-55…55",0,29.5,0.000000e+0,815.3417,0
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-jun,1140,38.786,33,"41.75…55",1,-41.5,1.130466e-1,792.9097,386
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,840,43.826,33,"-55…-21.25",1,47.75,7.524047e-2,1045.1440,304
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1060,69.576,33,"-55…55",0,-13.25,0.000000e+0,1087.6534,0
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,33,"17.5…17.5",2,-55,5.716126e-1,498.2580,139
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-dic,800,41.545,33,"-55…-26",1,50,1.004749e-1,1049.7440,323
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-dic,880,59.846,33,"-55…55",0,31.25,0.000000e+0,1140.8890,0
18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-dic,1080,71.222,33,"-55…55",0,-18.75,0.000000e+0,1157.4621,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-jun,400,21.661,17,"-55…55",0,55,0.000000e+0,723.1500,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-jun,580,54.844,17,"-55…55",0,31.75,0.000000e+0,896.5928,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-jun,660,67.358,17,"-55…55",0,10.5,0.000000e+0,911.2432,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-mar,880,36.794,17,"-55…55",0,-54.75,0.000000e+0,912.5658,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,600,19.230,17,"-55…55",0,33,0.000000e+0,243.7046,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,680,24.323,17,"-55…55",0,-27,0.000000e+0,334.5355,0
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,17,"-5.25…31.75",2,-26.25,4.701768e-1,199.9464,105
20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,620,61.594,17,"-55…55",0,27.25,0.000000e+0,963.7021,0
20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,780,68.544,17,"-55…55",0,-14.75,0.000000e+0,955.6951,0
20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,33,"-4.75…11",2,-53.25,8.230956e-1,12.6208,24
20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,17,"-15.5…35.25",2,-49.5,4.991671e-1,251.1159,78
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-jun,1020,27.173,33,"26.75…28.75",2,-55,3.371973e-1,516.1985,221
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-mar,580,36.634,33,"-55…9",1,53.25,1.670495e-2,884.4823,183
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-mar,620,41.836,33,"-55…55",0,45,0.000000e+0,885.7503,0
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-jun,320,7.595,17,"-28…8.25",2,23.25,4.148190e-1,108.4294,78
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-jun,740,71.599,17,"-55…55",0,2,0.000000e+0,948.7375,0
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-jun,1020,27.173,17,"-55…55",0,-55,0.000000e+0,815.2487,0
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-mar,400,5.850,33,"-14…2",2,43.5,7.984938e-1,71.7626,47
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-mar,580,36.634,17,"-55…55",0,53.25,0.000000e+0,899.5945,0
