caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
B,12:00,58.3010,115.1015,7.4367,pairwise,0,29.319576,29.120165,0.199411,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,true3d,0,29.319576,29.120165,0.199411,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,mgl,0,29.319576,29.120165,0.199411,-7.539028,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,0,-27.096130,-26.898973,-0.197157,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,true3d,0,-27.096130,-26.898973,-0.197157,-7.784671,1,1
B,16:00,59.9777,241.8260,7.4367,mgl,0,-27.096130,-26.898973,-0.197157,-7.784671,1,1
B,12:00,58.3010,115.1015,7.4367,pairwise,1,28.969781,29.120165,-0.150384,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,true3d,1,28.969781,29.120165,-0.150384,-7.539028,1,1
B,12:00,58.3010,115.1015,7.4367,mgl,1,28.969781,29.120165,-0.150384,-7.539028,1,1
B,16:00,59.9777,241.8260,7.4367,pairwise,1,-26.749697,-26.898973,0.149276,-7.784671,0,1
B,16:00,59.9777,241.8260,7.4367,true3d,1,-26.749697,-26.898973,0.149276,-7.784671,0,1
B,16:00,59.9777,241.8260,7.4367,mgl,1,-26.749697,-26.898973,0.149276,-7.784671,0,1
B,12:00,58.3010,115.1015,7.4367,global,0,29.178978,29.255167,-0.076189,-7.620567,1,1
B,12:00,58.3010,115.1015,7.4367,global,1,29.178978,29.255167,-0.076189,-7.620567,1,1
B,12:00,58.3010,115.1015,7.4367,global,2,29.178978,29.255167,-0.076189,-7.620567,1,1
B,12:00,58.3010,115.1015,7.4367,global,3,29.178978,29.255167,-0.076189,-7.620567,1,1
B,12:00,58.3010,115.1015,7.4367,global,4,29.178978,29.255167,-0.076189,-7.620567,1,1
B,12:00,58.3010,115.1015,7.4367,global,5,29.178978,29.255167,-0.076189,-7.620567,1,1
B,16:00,59.9777,241.8260,7.4367,global,0,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,16:00,59.9777,241.8260,7.4367,global,1,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,16:00,59.9777,241.8260,7.4367,global,2,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,16:00,59.9777,241.8260,7.4367,global,3,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,16:00,59.9777,241.8260,7.4367,global,4,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,16:00,59.9777,241.8260,7.4367,global,5,-26.957199,-27.032526,0.075327,-7.862900,1,1
B,07:30,9.2834,66.7257,7.4367,pairwise,5,38.101159,38.173809,-0.072651,-197.138578,0,1
B,07:30,9.2834,66.7257,7.4367,mgl,5,38.101159,38.173809,-0.072651,-197.138578,0,1
A,07:30,9.2834,66.7257,0.0000,astro,0,55.000000,55.000000,0.000000,22.181759,0,0
