cfg,nombre,dia,minZ,elev,mv,theta1_fs0,fs1,theta2,fs2,n_pares
32,"Zaragoza · llano · N-S aleatorio 6° · mono · medios ×1 · 6 filas · az 0°",21-jun,560,51.273,33,-55,0.000000e+0,38.25,5.587736e-2,327
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,900,57.102,33,-55,0.000000e+0,33,4.236129e-2,326
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,17,-55,0.000000e+0,44,2.293321e-2,179
21,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 6 filas · az 15°",21-mar,580,36.634,33,-55,0.000000e+0,51.5,1.675443e-2,183
33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,700,10.908,17,-55,0.000000e+0,54.75,4.191532e-3,3
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,33,-55,0.000000e+0,38,3.960538e-3,170
31,"Zaragoza · pendiente 10 · N-S senoidal 4° · mono · medios ×1 · 10 filas · az 0°",21-mar,540,30.558,33,-55,0.000000e+0,54.75,3.208632e-3,88
39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,33,55,0.000000e+0,-43.5,3.035798e-3,138
37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,33,-55,0.000000e+0,54.75,2.956775e-3,72
9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,940,42.079,33,55,0.000000e+0,-45.5,1.726027e-3,113
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,33,-55,0.000000e+0,39.25,4.342018e-4,97
26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,28,-55,0.000000e+0,-18.25,1.941344e-4,57
