cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1240,31.8523,281.2784,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1260,27.1408,279.3695,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1280,22.4065,277.6197,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1300,17.6572,275.9894,0.0000,17,0.000000e+0,-34,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1320,12.9018,274.4469,0.0000,17,0.000000e+0,-22,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.1561,272.9659,0.0000,17,0.000000e+0,-13,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1360,3.4752,271.5234,0.0000,33,0.000000e+0,-5.5,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,640,5.5090,112.8863,0.0000,33,0.000000e+0,-12,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,660,9.8795,111.6997,0.0000,17,0.000000e+0,-29.5,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,680,14.3190,110.6399,0.0000,17,0.000000e+0,-48,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,700,18.8002,109.7012,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,720,23.3118,108.8811,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,740,27.8469,108.1807,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,760,32.4005,107.6058,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,780,36.9680,107.1676,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,800,41.5453,106.8854,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,820,46.1277,106.7892,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,840,50.7102,106.9266,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,860,55.2860,107.3727,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,880,59.8457,108.2507,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,900,64.3745,109.7715,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,920,68.8464,112.3221,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,940,73.2097,116.6755,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,960,77.3452,124.5416,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,980,80.9293,139.9625,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1000,83.0437,169.7235,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1020,82.3507,206.0083,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1040,79.3872,228.4830,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1060,75.4845,239.6903,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1080,71.2217,245.6266,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1100,66.7992,249.0147,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1120,62.2968,251.0263,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-dic,1140,57.7514,252.2170,0.0000,17,0.000000e+0,-55,1
