bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 1,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 2,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 3,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 4,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 5,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,33,"Arequipa · pendiente 10 · N-S constante 3° · mono · medios ×2 · 8 filas · az 0°",21-mar,680,6.179,pareja 6,38.937864,38.900000,0.03786397,1
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,pareja 4,33.587186,33.550000,0.03718584,1
bt3dPairMaxMag,15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,500,7.402,pareja 4,20.337159,20.300000,0.03715872,1
bt3dPairMaxMag,15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,500,7.402,pareja 5,20.337159,20.300000,0.03715872,1
bt3dPairMaxMag,15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-dic,500,7.402,pareja 6,20.337159,20.300000,0.03715872,1
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,380,2.253,pareja 1,17.936351,17.900000,0.03635104,1
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,pareja 4,28.885649,28.850000,0.03564919,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 4,17.535520,17.500000,0.03551964,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 5,17.535520,17.500000,0.03551964,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 6,17.535520,17.500000,0.03551964,1
bt3dPairMaxMag,9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,pareja 2,37.184274,37.150000,0.03427425,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,580,17.279,pareja 0,11.784077,11.750000,0.03407706,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,580,17.279,pareja 3,11.784077,11.750000,0.03407706,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,580,17.279,pareja 4,11.784077,11.750000,0.03407706,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 0,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 1,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 2,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 3,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 4,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 5,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,pareja 6,5.183829,5.150000,0.03382941,1
bt3dPairMaxMag,3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 3,19.683324,19.650000,0.03332364,1
bt3dPairMaxMag,18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 3,19.683324,19.650000,0.03332364,1
bt3dPairMaxMag,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,520,10.136,pareja 2,18.782024,18.750000,0.03202389,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,pareja 0,13.281968,13.250000,0.03196782,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,pareja 1,13.281968,13.250000,0.03196782,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,pareja 2,13.281968,13.250000,0.03196782,1
