cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,980,71.0006,27.2555,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1000,72.6192,12.0480,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1020,72.9172,355.1449,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1040,71.8293,338.9743,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1060,69.5760,325.4193,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1080,66.4904,314.8661,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1100,62.8553,306.8185,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1120,58.8631,300.6237,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1140,54.6351,295.7491,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1160,50.2473,291.8140,6.0000,33,0.000000e+0,25.5,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1180,45.7481,288.5555,6.0000,33,0.000000e+0,43.5,1
