cfg,nombre,dia,minZ,elev,mv,theta1_fs0,fs1,theta2,fs2,n_pares
28,"Arequipa · valle 3 · N-S constante 0° · quebrado · alineadas ×2 · 8 filas · az 0°",21-jun,1220,24.806,17,55,0.000000e+0,-54.75,5.090310e-2,56
36,"Arequipa · llano · N-S quebrado 6° · bifila · medios ×1 · 10 filas · az 0°",21-jun,1180,32.192,33,55,0.000000e+0,-52.75,4.992624e-2,232
21,"Arequipa · cresta 3 · N-S rotula 2° · mono · tresbolillo ×1 · 10 filas · az 15°",21-mar,760,25.151,17,-55,0.000000e+0,54.75,4.889536e-2,72
19,"Arequipa · aleatorio 13 · N-S senoidal 2° · bifila · medios ×2 · 8 filas · az 0°",21-jun,1180,32.192,33,55,0.000000e+0,-50,3.013281e-2,196
25,"Arequipa · aleatorio 42 · N-S constante 0° · mono · alineadas ×2 · 6 filas · az 0°",21-dic,1280,25.759,17,55,0.000000e+0,-54.75,2.277509e-2,26
13,"Arequipa · cresta 1 · N-S senoidal 3° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,800,34.565,33,-55,0.000000e+0,54.75,2.226335e-2,156
32,"Zaragoza · llano · N-S senoidal 3° · quebrado · alineadas ×1 · 6 filas · az 0°",21-mar,560,33.687,33,-55,0.000000e+0,51.75,2.219761e-2,201
19,"Arequipa · aleatorio 13 · N-S senoidal 2° · bifila · medios ×2 · 8 filas · az 0°",21-mar,800,34.565,33,-55,0.000000e+0,54.75,2.082983e-2,162
22,"Zaragoza · valle 3 · N-S senoidal 4° · quebrado · tresbolillo ×1 · 10 filas · az 0°",21-jun,860,56.595,33,55,0.000000e+0,-31.25,9.879210e-3,214
20,"Arequipa · llano · N-S aleatorio 4° · mono · alineadas ×1 · 10 filas · az -20°",21-jun,1200,28.581,33,55,0.000000e+0,-46.25,9.711151e-3,203
31,"Zaragoza · aleatorio 13 · N-S senoidal 4° · bifila · alineadas ×1 · 10 filas · az -20°",21-mar,840,41.965,33,55,0.000000e+0,-42.5,9.155570e-3,180
