origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_026,TCU_SUNNER_ID_060,,,,,120.7,38,diagonal,TK026,TK060,26,60,42.31936,-5.602143,42.319398,-5.600446,16.8,10.6
TCU_SUNNER_ID_080,TCU_SUNNER_ID_082,,,,,124.8,0,eje,TK080,TK082,80,82,42.321191,-5.600775,42.320068,-5.600728,39.4,39.4
TCU_SUNNER_ID_042,TCU_SUNNER_ID_044,,,,,124.8,0,eje,TK042,TK044,42,44,42.319375,-5.601464,42.319377,-5.60138,39.4,39.4
TCU_SUNNER_ID_061,TCU_SUNNER_ID_062,,,,,125.0,1,eje,TK061,TK062,61,62,42.3194,-5.600361,42.319402,-5.600276,39.1,31.1
TCU_SUNNER_ID_076,TCU_SUNNER_ID_077,,,,,125.0,0,eje,TK076,TK077,76,77,42.320064,-5.600898,42.321189,-5.60086,39.4,39.4
TCU_SUNNER_ID_091,TCU_SUNNER_ID_092,,,,,125.0,1,eje,TK091,TK092,91,92,42.320073,-5.600474,42.321198,-5.600435,37.6,31.7
TCU_SUNNER_ID_071,TCU_SUNNER_ID_115,,,,,128.2,27,diagonal,TK071,TK115,71,115,42.319419,-5.599513,42.320654,-5.599648,16.3,13.2
TCU_SUNNER_ID_019,TCU_SUNNER_ID_063,,,,,133.0,50,filas,TK019,TK063,19,63,42.318807,-5.602387,42.319404,-5.600191,14.4,6.1
TCU_SUNNER_ID_024,TCU_SUNNER_ID_042,,,,,139.1,25,diagonal,TK024,TK042,24,42,42.319358,-5.602228,42.319375,-5.601464,14.8,11.2
TCU_SUNNER_ID_034,TCU_SUNNER_ID_091,,,,,145.3,42,filas,TK034,TK091,34,91,42.319367,-5.601804,42.320073,-5.600474,13.2,9.6
TCU_SUNNER_ID_061,TCU_SUNNER_ID_113,,,,,146.9,33,diagonal,TK061,TK113,61,113,42.3194,-5.600361,42.320652,-5.599733,13.3,10.5
TCU_SUNNER_ID_001,TCU_SUNNER_ID_047,,,,,161.0,56,filas,TK001,TK047,1,47,42.319331,-5.603416,42.318834,-5.601199,10.6,7.4
NCU 3,TCU_SUNNER_ID_101,,,,,161.3,31,diagonal,NCU 3,TK101,,101,,,42.321204,-5.600181,21.0,-13.1
TCU_SUNNER_ID_027,TCU_SUNNER_ID_088,,,,,172.7,50,diagonal,TK027,TK088,27,88,42.318815,-5.602048,42.320071,-5.600559,9.6,5.0
TCU_SUNNER_ID_038,TCU_SUNNER_ID_108,,,,,173.3,48,filas,TK038,TK108,38,108,42.319371,-5.601634,42.320085,-5.599965,9.5,6.6
TCU_SUNNER_ID_031,TCU_SUNNER_ID_098,,,,,185.8,52,diagonal,TK031,TK098,31,98,42.318818,-5.601878,42.321202,-5.600266,8.1,3.7
TCU_SUNNER_ID_041,TCU_SUNNER_ID_114,,,,,187.3,51,filas,TK041,TK114,41,114,42.318828,-5.601454,42.320091,-5.59971,9.0,5.3
TCU_SUNNER_ID_054,TCU_SUNNER_ID_116,,,,,198.2,39,diagonal,TK054,TK116,54,116,42.319386,-5.600955,42.320093,-5.599625,7.1,6.0
TCU_SUNNER_ID_023,TCU_SUNNER_ID_099,,,,,203.0,64,filas,TK023,TK099,23,99,42.318811,-5.602218,42.320641,-5.600242,6.2,1.9
TCU_SUNNER_ID_006,TCU_SUNNER_ID_059,,,,,213.6,63,diagonal,TK006,TK059,6,59,42.31934,-5.602992,42.319396,-5.600531,5.0,1.6
TCU_SUNNER_ID_015,TCU_SUNNER_ID_093,,,,,217.0,72,filas,TK015,TK093,15,93,42.318803,-5.602557,42.320637,-5.600412,4.8,0.7
TCU_SUNNER_ID_005,TCU_SUNNER_ID_082,,,,,232.5,75,diagonal,TK005,TK082,5,82,42.319338,-5.603077,42.320068,-5.600728,3.3,1.3
TCU_SUNNER_ID_025,TCU_SUNNER_ID_113,,,,,238.0,73,filas,TK025,TK113,25,113,42.318813,-5.602133,42.320652,-5.599733,2.9,-0.9
TCU_SUNNER_ID_001,TCU_SUNNER_ID_071,,,,,261.1,76,diagonal,TK001,TK071,1,71,42.319331,-5.603416,42.319419,-5.599513,0.9,-1.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_088,,,,,264.3,82,filas,TK001,TK088,1,88,42.319331,-5.603416,42.320071,-5.600559,0.5,0.3
TCU_SUNNER_ID_004,TCU_SUNNER_ID_083,,,,,267.2,77,diagonal,TK004,TK083,4,83,42.319336,-5.603162,42.321192,-5.60069,0.6,1.7
TCU_SUNNER_ID_003,TCU_SUNNER_ID_097,,,,,271.3,86,filas,TK003,TK097,3,97,42.319334,-5.603246,42.320077,-5.600304,0.1,-0.1
TCU_SUNNER_ID_010,TCU_SUNNER_ID_110,,,,,278.3,89,filas,TK010,TK110,10,110,42.319344,-5.602822,42.320087,-5.59988,-0.2,-1.1
TCU_SUNNER_ID_001,TCU_SUNNER_ID_090,,,,,278.4,84,diagonal,TK001,TK090,1,90,42.319331,-5.603416,42.320635,-5.600497,-0.4,-0.4
TCU_SUNNER_ID_001,TCU_SUNNER_ID_083,,,,,286.0,80,diagonal,TK001,TK083,1,83,42.319331,-5.603416,42.321192,-5.60069,-0.9,0.9
TCU_SUNNER_ID_007,TCU_SUNNER_ID_109,,,,,287.0,92,filas,TK007,TK109,7,109,42.318795,-5.602897,42.320648,-5.599903,-0.8,-4.1
TCU_SUNNER_ID_004,TCU_SUNNER_ID_098,,,,,298.6,87,diagonal,TK004,TK098,4,98,42.319336,-5.603162,42.321202,-5.600266,-1.8,-1.9
TCU_SUNNER_ID_006,TCU_SUNNER_ID_112,,,,,299.3,95,filas,TK006,TK112,6,112,42.31934,-5.602992,42.320089,-5.599795,-1.6,-2.3
TCU_SUNNER_ID_004,TCU_SUNNER_ID_111,,,,,312.6,97,diagonal,TK004,TK111,4,111,42.319336,-5.603162,42.32065,-5.599818,-2.5,-3.0
TCU_SUNNER_ID_006,TCU_SUNNER_ID_116,,,,,313.3,99,filas,TK006,TK116,6,116,42.31934,-5.602992,42.320093,-5.599625,-2.5,-3.1
TCU_SUNNER_ID_001,TCU_SUNNER_ID_119,,,,,360.7,108,diagonal,TK001,TK119,1,119,42.319331,-5.603416,42.320658,-5.599479,-5.3,-4.9
