node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_057,42.321803,-5.598543,TK057,TCU,radio,1,1
TCU_SUNNER_ID_058,42.321243,-5.598483,TK058,TCU,radio,1,1
TCU_SUNNER_ID_059,42.322367,-5.598481,TK059,TCU,radio,1,1
TCU_SUNNER_ID_060,42.321805,-5.598458,TK060,TCU,radio,1,1
TCU_SUNNER_ID_061,42.321244,-5.598399,TK061,TCU,radio,1,1
TCU_SUNNER_ID_062,42.322369,-5.598396,TK062,TCU,radio,1,1
TCU_SUNNER_ID_063,42.321807,-5.598373,TK063,TCU,radio,1,1
TCU_SUNNER_ID_064,42.321246,-5.598314,TK064,TCU,radio,1,1
TCU_SUNNER_ID_065,42.32237,-5.598311,TK065,TCU,radio,1,1
TCU_SUNNER_ID_066,42.321809,-5.598288,TK066,TCU,radio,1,1
TCU_SUNNER_ID_067,42.321248,-5.598229,TK067,TCU,radio,1,1
TCU_SUNNER_ID_068,42.322372,-5.598227,TK068,TCU,radio,1,1
TCU_SUNNER_ID_069,42.321811,-5.598203,TK069,TCU,radio,1,1
TCU_SUNNER_ID_070,42.32125,-5.598144,TK070,TCU,radio,1,1
TCU_SUNNER_ID_071,42.322374,-5.598142,TK071,TCU,radio,1,1
TCU_SUNNER_ID_072,42.321813,-5.598119,TK072,TCU,radio,1,1
TCU_SUNNER_ID_073,42.321252,-5.598059,TK073,TCU,radio,1,1
TCU_SUNNER_ID_074,42.322376,-5.598057,TK074,TCU,radio,1,1
TCU_SUNNER_ID_075,42.321815,-5.598034,TK075,TCU,radio,1,1
TCU_SUNNER_ID_076,42.322378,-5.597972,TK076,TCU,radio,1,1
TCU_SUNNER_ID_077,42.321817,-5.597949,TK077,TCU,radio,1,1
TCU_SUNNER_ID_078,42.32238,-5.597887,TK078,TCU,radio,1,1
TCU_SUNNER_ID_079,42.321819,-5.597864,TK079,TCU,radio,1,1
TCU_SUNNER_ID_080,42.322382,-5.597802,TK080,TCU,radio,1,2
TCU_SUNNER_ID_081,42.321821,-5.597779,TK081,TCU,radio,1,2
TCU_SUNNER_ID_082,42.322384,-5.597717,TK082,TCU,radio,1,2
TCU_SUNNER_ID_083,42.321822,-5.597694,TK083,TCU,radio,1,2
TCU_SUNNER_ID_084,42.322386,-5.597633,TK084,TCU,radio,1,2
TCU_SUNNER_ID_085,42.321824,-5.597609,TK085,TCU,radio,1,2
TCU_SUNNER_ID_086,42.321263,-5.597586,TK086,TCU,radio,1,2
TCU_SUNNER_ID_087,42.322388,-5.597548,TK087,TCU,radio,1,2
TCU_SUNNER_ID_088,42.321826,-5.597525,TK088,TCU,radio,1,2
TCU_SUNNER_ID_089,42.321265,-5.597501,TK089,TCU,radio,1,2
TCU_SUNNER_ID_090,42.32239,-5.597463,TK090,TCU,radio,1,2
TCU_SUNNER_ID_091,42.321828,-5.59744,TK091,TCU,radio,1,2
TCU_SUNNER_ID_092,42.321267,-5.597417,TK092,TCU,radio,1,2
TCU_SUNNER_ID_093,42.322392,-5.597378,TK093,TCU,radio,1,2
TCU_SUNNER_ID_094,42.32183,-5.597355,TK094,TCU,radio,1,2
TCU_SUNNER_ID_095,42.321269,-5.597332,TK095,TCU,radio,1,2
TCU_SUNNER_ID_096,42.322394,-5.597293,TK096,TCU,radio,1,2
TCU_SUNNER_ID_097,42.321832,-5.59727,TK097,TCU,radio,1,2
TCU_SUNNER_ID_098,42.321271,-5.597247,TK098,TCU,radio,1,2
TCU_SUNNER_ID_099,42.322396,-5.597208,TK099,TCU,radio,1,2
TCU_SUNNER_ID_100,42.321834,-5.597185,TK100,TCU,radio,1,2
TCU_SUNNER_ID_101,42.321273,-5.597162,TK101,TCU,radio,1,2
TCU_SUNNER_ID_102,42.322397,-5.597123,TK102,TCU,radio,1,2
TCU_SUNNER_ID_103,42.321836,-5.5971,TK103,TCU,radio,1,2
TCU_SUNNER_ID_104,42.321274,-5.597077,TK104,TCU,radio,1,2
TCU_SUNNER_ID_105,42.322399,-5.597038,TK105,TCU,radio,1,2
TCU_SUNNER_ID_106,42.321838,-5.597015,TK106,TCU,radio,1,2
TCU_SUNNER_ID_107,42.321276,-5.596992,TK107,TCU,radio,1,2
TCU_SUNNER_ID_108,42.322401,-5.596954,TK108,TCU,radio,1,2
TCU_SUNNER_ID_109,42.32184,-5.59693,TK109,TCU,radio,1,2
TCU_SUNNER_ID_110,42.321278,-5.596907,TK110,TCU,radio,1,2
TCU_SUNNER_ID_111,42.322403,-5.596869,TK111,TCU,radio,1,2
TCU_SUNNER_ID_112,42.321842,-5.596846,TK112,TCU,radio,1,2
TCU_SUNNER_ID_113,42.32128,-5.596822,TK113,TCU,radio,1,2
TCU_SUNNER_ID_114,42.322405,-5.596784,TK114,TCU,radio,1,2
TCU_SUNNER_ID_115,42.321844,-5.596761,TK115,TCU,radio,1,2
TCU_SUNNER_ID_116,42.321282,-5.596738,TK116,TCU,radio,1,2
TCU_SUNNER_ID_117,42.322407,-5.596699,TK117,TCU,radio,1,2
TCU_SUNNER_ID_118,42.321846,-5.596676,TK118,TCU,radio,1,2
TCU_SUNNER_ID_119,42.321284,-5.596653,TK119,TCU,radio,1,2
TCU_SUNNER_ID_120,42.322409,-5.596614,TK120,TCU,radio,1,2
HSU_01,42.322164,-5.599815,HSU 1,HSU,radio,1,1
