origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_199,TCU_SUNNER_ID_201,,,,,55.2,0,eje,TK0695,TK0697,199,201,37.377592,14.906169,37.377095,14.90617,52.6,52.6
TCU_SUNNER_ID_044,TCU_SUNNER_ID_061,,,,,62.9,29,filas,TK0172,TK0189,44,61,37.376966,14.905342,37.376965,14.904631,31.3,22.2
TCU_SUNNER_ID_036,TCU_SUNNER_ID_187,,,,,66.8,17,diagonal,TK0078,TK0576,36,187,37.37558,14.905107,37.375094,14.904659,31.2,23.8
TCU_SUNNER_ID_037,TCU_SUNNER_ID_038,,,,,72.4,0,eje,TK0165,TK0166,37,38,37.377619,14.905696,37.376966,14.905697,48.4,48.4
TCU_SUNNER_ID_108,TCU_SUNNER_ID_138,,,,,72.4,0,eje,TK0497,TK0527,108,138,37.375746,14.903593,37.376399,14.903592,48.4,48.4
TCU_SUNNER_ID_012,TCU_SUNNER_ID_021,,,,,73.9,20,filas,TK0016,TK0025,12,21,37.376078,14.90629,37.37616,14.907118,28.7,21.0
TCU_SUNNER_ID_057,TCU_SUNNER_ID_060,,,,,75.4,10,diagonal,TK0185,TK0188,57,60,37.376965,14.904868,37.377618,14.904631,31.4,24.1
TCU_SUNNER_ID_039,TCU_SUNNER_ID_064,,,,,82.9,27,diagonal,TK0167,TK0192,39,64,37.377619,14.905578,37.378105,14.904867,25.8,19.0
TCU_SUNNER_ID_083,TCU_SUNNER_ID_089,,,,,90.0,14,diagonal,TK0211,TK0217,83,89,37.376847,14.907946,37.377427,14.907235,26.2,19.2
TCU_SUNNER_ID_029,TCU_SUNNER_ID_191,,,,,92.0,40,filas,TK0059,TK0580,29,191,37.374928,14.905936,37.374929,14.904896,22.6,9.4
TCU_SUNNER_ID_012,TCU_SUNNER_ID_069,,,,,95.6,0,eje,TK0016,TK0197,12,69,37.376078,14.90629,37.37694,14.906289,43.8,43.8
TCU_SUNNER_ID_108,TCU_SUNNER_ID_154,,,,,104.8,45,filas,TK0497,TK0543,108,154,37.375746,14.903593,37.375753,14.90241,18.9,14.1
TCU_SUNNER_ID_101,TCU_SUNNER_ID_139,,,,,110.8,36,diagonal,TK0490,TK0528,101,139,37.375745,14.902765,37.376399,14.903711,18.1,14.4
TCU_SUNNER_ID_058,TCU_SUNNER_ID_153,,,,,124.3,68,filas,TK0186,TK0542,58,153,37.377618,14.904749,37.377744,14.903354,15.2,12.9
TCU_SUNNER_ID_042,TCU_SUNNER_ID_051,,,,,126.4,0,eje,TK0170,TK0179,42,51,37.376966,14.90546,37.378106,14.905459,39.2,39.2
TCU_SUNNER_ID_017,TCU_SUNNER_ID_028,,,,,130.1,42,diagonal,TK0021,TK0040,17,28,37.376232,14.904869,37.375425,14.905935,15.6,8.7
TCU_SUNNER_ID_043,TCU_SUNNER_ID_086,,,,,137.9,51,filas,TK0171,TK0214,43,86,37.377618,14.905341,37.377427,14.90688,13.9,8.9
TCU_SUNNER_ID_017,TCU_SUNNER_ID_191,,,,,144.6,1,eje,TK0021,TK0580,17,191,37.376232,14.904869,37.374929,14.904896,35.0,29.4
TCU_SUNNER_ID_161,TCU_SUNNER_ID_172,,,,,144.8,0,eje,TK0550,TK0561,161,172,37.375988,14.902646,37.377293,14.902644,36.9,36.9
TCU_SUNNER_ID_137,TCU_SUNNER_ID_171,,,,,147.9,36,diagonal,TK0526,TK0560,137,171,37.376399,14.903474,37.377496,14.902526,12.4,10.7
TCU_SUNNER_ID_051,TCU_SUNNER_ID_072,,,,,160.1,38,diagonal,TK0179,TK0200,51,72,37.378106,14.905459,37.37694,14.906525,11.4,8.7
NCU 02,TCU_SUNNER_ID_131,,,,,161.6,86,filas,NCU 02,TK0520,,131,,,37.376398,14.902764,18.8,2.7
TCU_SUNNER_ID_012,TCU_SUNNER_ID_068,,,,,168.0,0,eje,TK0016,TK0196,12,68,37.376078,14.90629,37.377592,14.906288,34.4,34.4
TCU_SUNNER_ID_032,TCU_SUNNER_ID_044,,,,,171.0,0,eje,TK0074,TK0172,32,44,37.375424,14.905344,37.376966,14.905342,34.1,34.1
TCU_SUNNER_ID_049,TCU_SUNNER_ID_087,,,,,179.4,68,filas,TK0177,TK0215,49,87,37.377618,14.904986,37.377427,14.906998,8.4,4.5
TCU_SUNNER_ID_128,TCU_SUNNER_ID_161,,,,,185.9,83,diagonal,TK0517,TK0550,128,161,37.375094,14.904423,37.375988,14.902646,7.8,-2.9
TCU_SUNNER_ID_039,TCU_SUNNER_ID_152,,,,,207.8,108,filas,TK0167,TK0541,39,152,37.377619,14.905578,37.377744,14.903236,4.8,-0.8
TCU_SUNNER_ID_044,TCU_SUNNER_ID_107,,,,,213.6,88,diagonal,TK0172,TK0496,44,107,37.376966,14.905342,37.375746,14.903475,4.4,4.7
TCU_SUNNER_ID_116,TCU_SUNNER_ID_142,,,,,221.7,0,eje,TK0505,TK0531,116,142,37.375093,14.903002,37.377091,14.903,29.6,29.6
TCU_SUNNER_ID_004,TCU_SUNNER_ID_052,,,,,225.0,0,eje,TK0008,TK0180,4,52,37.376077,14.905343,37.378105,14.90534,29.4,29.4
TCU_SUNNER_ID_046,TCU_SUNNER_ID_082,,,,,230.6,78,filas,TK0174,TK0210,46,82,37.376966,14.905223,37.376941,14.907827,3.6,0.0
TCU_SUNNER_ID_048,TCU_SUNNER_ID_123,,,,,236.3,63,diagonal,TK0176,TK0512,48,123,37.376966,14.905105,37.375094,14.903831,3.1,0.6
TCU_SUNNER_ID_005,TCU_SUNNER_ID_160,,,,,260.0,131,filas,TK0009,TK0549,5,160,37.376077,14.905461,37.37619,14.902527,0.8,0.4
TCU_SUNNER_ID_071,TCU_SUNNER_ID_191,,,,,260.1,56,diagonal,TK0199,TK0580,71,191,37.37694,14.906407,37.374929,14.904896,1.4,-1.8
TCU_SUNNER_ID_156,TCU_SUNNER_ID_182,,,,,271.2,0,eje,TK0545,TK0571,156,182,37.375335,14.902647,37.37778,14.902644,26.2,26.2
TCU_SUNNER_ID_023,TCU_SUNNER_ID_189,,,,,280.8,117,filas,TK0027,TK0578,23,189,37.37616,14.907355,37.376233,14.904185,-0.6,-6.7
TCU_SUNNER_ID_091,TCU_SUNNER_ID_128,,,,,281.5,1,eje,TK0219,TK0517,91,128,37.377632,14.904394,37.375094,14.904423,22.5,18.4
TCU_SUNNER_ID_016,TCU_SUNNER_ID_138,,,,,283.0,133,diagonal,TK0020,TK0527,16,138,37.376078,14.906763,37.376399,14.903592,-0.7,-6.7
TCU_SUNNER_ID_112,TCU_SUNNER_ID_194,,,,,294.5,0,eje,TK0501,TK0653,112,194,37.375746,14.904067,37.378401,14.904038,24.8,24.8
TCU_SUNNER_ID_041,TCU_SUNNER_ID_206,,,,,298.6,0,eje,TK0169,TK0707,41,206,37.377619,14.905459,37.374927,14.905463,24.6,24.6
TCU_SUNNER_ID_067,TCU_SUNNER_ID_165,,,,,301.8,149,filas,TK0195,TK0554,67,165,37.376966,14.905815,37.377058,14.902408,-2.1,-5.4
TCU_SUNNER_ID_032,TCU_SUNNER_ID_098,,,,,303.6,66,diagonal,TK0074,TK0226,32,98,37.375424,14.905344,37.377914,14.90392,-1.7,0.2
TCU_SUNNER_ID_072,TCU_SUNNER_ID_104,,,,,329.3,147,diagonal,TK0200,TK0493,72,104,37.37694,14.906525,37.375746,14.90312,-3.7,-8.8
