origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_002,TCU_SUNNER_ID_004,,,,,40.2,1,diagonal,TK 002-07,TK 004-07,2,4,39.115939,-1.170664,39.116282,-1.170517,54.8,44.2
TCU_SUNNER_ID_002,TCU_SUNNER_ID_009,,,,,40.3,7,filas,TK 002-07,TK 009-07,2,9,39.115939,-1.170664,39.115769,-1.170252,45.7,19.7
TCU_SUNNER_ID_041,TCU_SUNNER_ID_042,,,,,47.2,0,eje,TK 041-07,TK 042-07,41,42,39.11466,-1.170281,39.114235,-1.170292,55.0,55.0
TCU_SUNNER_ID_044,TCU_SUNNER_ID_049,,,,,48.7,13,filas,TK 044-07,TK 049-07,44,49,39.114002,-1.170159,39.114069,-1.169602,35.3,21.5
TCU_SUNNER_ID_058,TCU_SUNNER_ID_059,,,,,56.5,0,eje,TK 058-07,TK 059-07,58,59,39.114567,-1.168895,39.114058,-1.168909,52.3,52.3
TCU_SUNNER_ID_049,TCU_SUNNER_ID_059,,,,,60.0,14,filas,TK 049-07,TK 059-07,49,59,39.114069,-1.169602,39.114058,-1.168909,33.4,24.9
TCU_SUNNER_ID_052,TCU_SUNNER_ID_057,,,,,61.4,5,diagonal,TK 052-07,TK 057-07,52,57,39.114573,-1.169312,39.11406,-1.169047,38.5,8.7
TCU_SUNNER_ID_012,TCU_SUNNER_ID_043,,,,,66.3,0,eje,TK 012-07,TK 043-07,12,43,39.115255,-1.170127,39.114658,-1.170142,49.8,49.8
TCU_SUNNER_ID_036,TCU_SUNNER_ID_042,,,,,71.1,11,diagonal,TK 036-07,TK 042-07,36,42,39.114589,-1.170977,39.114235,-1.170292,26.1,-12.3
TCU_SUNNER_ID_001,TCU_SUNNER_ID_015,,,,,72.0,16,filas,TK 001-07,TK 015-07,1,15,39.115266,-1.17082,39.115253,-1.169988,25.5,19.0
TCU_SUNNER_ID_042,TCU_SUNNER_ID_051,,,,,74.0,19,filas,TK 042-07,TK 051-07,42,51,39.114235,-1.170292,39.114067,-1.169464,29.8,10.1
TCU_SUNNER_ID_027,TCU_SUNNER_ID_054,,,,,74.3,0,eje,TK 027-07,TK 054-07,27,54,39.11524,-1.169156,39.114571,-1.169173,47.9,47.9
TCU_SUNNER_ID_008,TCU_SUNNER_ID_009,,,,,74.9,0,eje,TK 008-07,TK 009-07,8,9,39.116444,-1.170235,39.115769,-1.170252,47.8,47.8
TCU_SUNNER_ID_044,TCU_SUNNER_ID_047,,,,,76.7,7,diagonal,TK 044-07,TK 047-07,44,47,39.114002,-1.170159,39.114654,-1.169865,36.4,4.3
TCU_SUNNER_ID_043,TCU_SUNNER_ID_025,,,,,82.8,16,diagonal,TK 043-07,TK 025-07,43,25,39.114658,-1.170142,39.115162,-1.169435,27.6,-4.9
TCU_SUNNER_ID_056,TCU_SUNNER_ID_063,,,,,90.6,11,diagonal,TK 056-07,TK 063-07,56,63,39.114569,-1.169034,39.113814,-1.168637,27.3,-2.9
